scenario,seats,dem_count,dem_pct,con_count,con_pct
baseline,65,1,0.01,0,0.0
baseline,67,2,0.02,0,0.0
baseline,68,2,0.02,0,0.0
baseline,69,5,0.05,0,0.0
baseline,70,5,0.05,0,0.0
baseline,71,7,0.07,0,0.0
baseline,72,15,0.15,0,0.0
baseline,73,28,0.28,0,0.0
baseline,74,34,0.34,0,0.0
baseline,75,40,0.4,0,0.0
baseline,76,49,0.49,0,0.0
baseline,77,66,0.66,0,0.0
baseline,78,88,0.88,0,0.0
baseline,79,120,1.2,0,0.0
baseline,80,123,1.23,0,0.0
baseline,81,152,1.52,1,0.01
baseline,82,169,1.69,3,0.03
baseline,83,198,1.98,2,0.02
baseline,84,192,1.92,8,0.08
baseline,85,185,1.85,5,0.05
baseline,86,211,2.11,13,0.13
baseline,87,224,2.24,12,0.12
baseline,88,217,2.17,25,0.25
baseline,89,192,1.92,34,0.34
baseline,90,215,2.15,28,0.28
baseline,91,223,2.23,44,0.44
baseline,92,199,1.99,53,0.53
baseline,93,189,1.89,71,0.71
baseline,94,227,2.27,78,0.78
baseline,95,209,2.09,106,1.06
baseline,96,210,2.1,106,1.06
baseline,97,227,2.27,111,1.11
baseline,98,250,2.5,111,1.11
baseline,99,271,2.71,118,1.18
baseline,100,277,2.77,107,1.07
baseline,101,295,2.95,121,1.21
baseline,102,330,3.3,93,0.93
baseline,103,299,2.99,104,1.04
baseline,104,323,3.23,59,0.59
baseline,105,281,2.81,55,0.55
baseline,106,302,3.02,53,0.53
baseline,107,273,2.73,43,0.43
baseline,108,253,2.53,27,0.27
baseline,109,204,2.04,19,0.19
baseline,110,195,1.95,10,0.1
baseline,111,157,1.57,21,0.21
baseline,112,140,1.4,12,0.12
baseline,113,110,1.1,5,0.05
baseline,114,94,0.94,7,0.07
baseline,115,70,0.7,1,0.01
baseline,116,54,0.54,1,0.01
baseline,117,54,0.54,4,0.04
baseline,118,17,0.17,0,0.0
baseline,119,16,0.16,0,0.0
baseline,120,12,0.12,0,0.0
baseline,121,8,0.08,0,0.0
baseline,122,4,0.04,0,0.0
baseline,123,5,0.05,0,0.0
baseline,124,4,0.04,0,0.0
baseline,125,2,0.02,0,0.0
baseline,126,5,0.05,0,0.0
baseline,140,0,0.0,5,0.05
baseline,141,0,0.0,2,0.02
baseline,142,0,0.0,4,0.04
baseline,143,0,0.0,5,0.05
baseline,144,0,0.0,4,0.04
baseline,145,0,0.0,8,0.08
baseline,146,0,0.0,12,0.12
baseline,147,0,0.0,16,0.16
baseline,148,0,0.0,17,0.17
baseline,149,4,0.04,54,0.54
baseline,150,1,0.01,54,0.54
baseline,151,1,0.01,70,0.7
baseline,152,7,0.07,94,0.94
baseline,153,5,0.05,110,1.1
baseline,154,12,0.12,140,1.4
baseline,155,21,0.21,157,1.57
baseline,156,10,0.1,195,1.95
baseline,157,19,0.19,204,2.04
baseline,158,27,0.27,253,2.53
baseline,159,43,0.43,273,2.73
baseline,160,53,0.53,302,3.02
baseline,161,55,0.55,281,2.81
baseline,162,59,0.59,323,3.23
baseline,163,104,1.04,299,2.99
baseline,164,93,0.93,330,3.3
baseline,165,121,1.21,295,2.95
baseline,166,107,1.07,277,2.77
baseline,167,118,1.18,271,2.71
baseline,168,111,1.11,250,2.5
baseline,169,111,1.11,227,2.27
baseline,170,106,1.06,210,2.1
baseline,171,106,1.06,209,2.09
baseline,172,78,0.78,227,2.27
baseline,173,71,0.71,189,1.89
baseline,174,53,0.53,199,1.99
baseline,175,44,0.44,223,2.23
baseline,176,28,0.28,215,2.15
baseline,177,34,0.34,192,1.92
baseline,178,25,0.25,217,2.17
baseline,179,12,0.12,224,2.24
baseline,180,13,0.13,211,2.11
baseline,181,5,0.05,185,1.85
baseline,182,8,0.08,192,1.92
baseline,183,2,0.02,198,1.98
baseline,184,3,0.03,169,1.69
baseline,185,1,0.01,152,1.52
baseline,186,0,0.0,123,1.23
baseline,187,0,0.0,120,1.2
baseline,188,0,0.0,88,0.88
baseline,189,0,0.0,66,0.66
baseline,190,0,0.0,49,0.49
baseline,191,0,0.0,40,0.4
baseline,192,0,0.0,34,0.34
baseline,193,0,0.0,28,0.28
baseline,194,0,0.0,15,0.15
baseline,195,0,0.0,7,0.07
baseline,196,0,0.0,5,0.05
baseline,197,0,0.0,5,0.05
baseline,198,0,0.0,2,0.02
baseline,199,0,0.0,2,0.02
baseline,201,0,0.0,1,0.01
normal,56,1,0.01,0,0.0
normal,62,1,0.01,0,0.0
normal,63,2,0.02,0,0.0
