시도,선거인수,사전투표자수,사전투표율,시군구수,최고시군구,최저시군구
서울특별시,8319134,1983478,23.84,25,종로구 26.61,강남구 19.09
부산광역시,2857335,608335,21.29,16,동구 24.9,기장군 17.81
대구광역시,2049683,382250,18.65,9,군위군 39.82,달서구 17.22
인천광역시,2663459,575729,21.62,11,옹진군 34.6,미추홀구 20.26
광주광역시,1189519,331074,27.83,5,동구 32.19,광산구 24.64
대전광역시,1250891,281767,22.53,5,유성구 23.94,중구 21.77
울산광역시,936171,210232,22.46,5,동구 23.76,남구 21.0
경기도,11878997,2490302,20.96,47,연천군 27.38,평택시 17.33
강원특별자치도,1329742,359735,27.05,18,평창군 34.03,원주시 23.84
충청북도,1396588,329090,23.56,14,보은군 40.12,청주시청원구 17.7
충청남도,1857239,417475,22.48,16,청양군 35.52,천안시동남구 17.38
전북특별자치도,1509854,529181,35.05,15,순창군 62.31,전주시덕진구 28.49
전라남도,1558206,606907,38.95,22,신안군 61.31,여수시 29.65
경상북도,2202861,493931,22.42,23,울릉군 40.81,포항시북구 16.3
경상남도,2775745,684053,24.64,22,하동군 40.88,양산시 18.51
제주특별자치도,565350,129321,22.87,2,서귀포시 26.06,제주시 21.68
