전국순위,시도,시군구,유형,선거인수,사전투표자수,사전투표율,평균대비_%p,시도내순위
1,전북특별자치도,순창군,군,25088,15633,62.31,38.83,1
2,전라남도,신안군,군,38705,23729,61.31,37.83,1
3,전라남도,진도군,군,25342,13945,55.03,31.55,2
4,전라남도,함평군,군,27154,14721,54.21,30.73,3
5,전북특별자치도,고창군,군,45359,24111,53.16,29.68,2
6,전북특별자치도,진안군,군,22469,11758,52.33,28.85,3
7,전라남도,강진군,군,28803,15024,52.16,28.68,4
8,전라남도,담양군,군,40279,20901,51.89,28.41,5
9,전북특별자치도,장수군,군,19324,9996,51.73,28.25,4
10,전라남도,장흥군,군,30986,15714,50.71,27.23,6
11,전라남도,구례군,군,22104,11149,50.44,26.96,7
12,전라남도,곡성군,군,25668,12921,50.34,26.86,8
13,전라남도,완도군,군,39814,19735,49.57,26.09,9
14,전라남도,고흥군,군,54928,27095,49.33,25.85,10
15,전라남도,보성군,군,33946,16665,49.09,25.61,11
16,전북특별자치도,임실군,군,23339,11439,49.01,25.53,5
17,전북특별자치도,무주군,군,21237,10177,47.92,24.44,6
18,전라남도,영광군,군,47621,22189,46.59,23.11,12
19,전라남도,장성군,군,38722,17625,45.52,22.04,13
20,전북특별자치도,부안군,군,43018,19392,45.08,21.6,7
21,전북특별자치도,남원시,시,66274,29355,44.29,20.81,8
22,전북특별자치도,정읍시,시,90283,38775,42.95,19.47,9
23,전북특별자치도,김제시,시,73898,30231,40.91,17.43,10
24,경상남도,하동군,군,37046,15146,40.88,17.4,1
25,경상북도,울릉군,군,8226,3357,40.81,17.33,1
26,전라남도,해남군,군,56328,22882,40.62,17.14,14
27,경상북도,영양군,군,14900,6019,40.4,16.92,2
28,충청북도,보은군,군,28393,11391,40.12,16.64,1
29,전라남도,영암군,군,45388,18151,39.99,16.51,15
30,대구광역시,군위군,군,21590,8598,39.82,16.34,1
31,충청북도,괴산군,군,35075,13690,39.03,15.55,2
32,경상남도,함양군,군,32274,12543,38.86,15.38,2
33,전라남도,나주시,시,99957,38042,38.06,14.58,16
34,경상남도,산청군,군,30696,11375,37.06,13.58,3
