시도,시군구,사전투표율_8회,사전투표율_9회,격차_%p
전라남도,함평군,36.0,54.21,18.21
전라남도,담양군,38.07,51.89,13.82
전라남도,보성군,36.16,49.09,12.93
전북특별자치도,순창군,49.75,62.31,12.56
전라남도,신안군,48.76,61.31,12.55
전북특별자치도,군산시,17.58,30.11,12.53
전북특별자치도,전주시완산구,17.17,29.45,12.28
전북특별자치도,전주시덕진구,16.78,28.49,11.71
전라남도,완도군,38.05,49.57,11.52
광주광역시,동구,20.7,32.19,11.49
전북특별자치도,정읍시,31.62,42.95,11.33
전라남도,진도군,43.94,55.03,11.09
광주광역시,광산구,13.58,24.64,11.06
광주광역시,남구,18.78,29.7,10.92
전북특별자치도,부안군,34.26,45.08,10.82
광주광역시,북구,18.25,28.68,10.43
전라남도,여수시,19.31,29.65,10.34
전라남도,해남군,30.68,40.62,9.94
전라남도,구례군,40.75,50.44,9.69
전북특별자치도,고창군,43.53,53.16,9.63
전북특별자치도,익산시,21.95,31.4,9.45
광주광역시,서구,18.41,27.82,9.41
전북특별자치도,김제시,31.82,40.91,9.09
전라남도,순천시,24.02,33.05,9.03
전북특별자치도,완주군,27.85,36.68,8.83
전라남도,나주시,29.49,38.06,8.57
전북특별자치도,진안군,44.26,52.33,8.07
전북특별자치도,장수군,43.7,51.73,8.03
전라남도,광양시,25.39,33.05,7.66
전라남도,장흥군,43.45,50.71,7.26
전라남도,강진군,45.01,52.16,7.15
전라남도,무안군,29.7,36.78,7.08
전라남도,화순군,30.64,36.93,6.29
전북특별자치도,남원시,38.45,44.29,5.84
경상남도,김해시,16.57,22.2,5.63
부산광역시,북구,17.83,23.38,5.55
전북특별자치도,임실군,44.03,49.01,4.98
부산광역시,강서구,15.13,20.1,4.97
전라남도,영암군,35.03,39.99,4.96
대구광역시,달성군,12.61,17.54,4.93
전라남도,영광군,41.68,46.59,4.91
경상남도,창원시성산구,18.02,22.76,4.74
울산광역시,북구,18.27,22.83,4.56
전라남도,곡성군,45.88,50.34,4.46
대구광역시,수성구,16.45,20.77,4.32
강원특별자치도,양양군,29.2,33.5,4.3
강원특별자치도,철원군,22.42,26.7,4.28
경기도,광주시,17.23,21.49,4.26
서울특별시,도봉구,21.37,25.53,4.16
