huboid,name,party,region,office,proportional_rank,seat_count,electable_order,uncontested,status,v1_categories,v2_categories,v2_keywords,v2_broad_keywords,offense_summaries,change_status,nec_detail_url,pdf_urls
100153769,이기붕,개혁신당,인천광역시,시도지사,,,N,N,등록,배임,배임,배임; 업무상배임,,"근로기준법위반업무상배임인천광역시장선거개혁신당 (2005-05-16, 벌금4,000,000원)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100153769,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg2800/Hb100153769/junkwa/20260203131514932_1.PDF
100153791,이병학,,충청남도,교육감,,,N,N,등록,뇌물,뇌물,뇌물,,"특정범죄가중처벌등에관한 (2003-09-05, 징역2년6월)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100153791,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4400/Hb100153791/junkwa/20260203154333595_1.PDF
100153831,박경철,무소속,전북특별자치도 익산시,기초단체장,,,N,N,등록,,사기,보조금관리에관한법률위반,보조금관리에관한법률위반,"폭력행위등처벌에관한법률위반공직선거법위만보조금관리에관한법률위반익산시장선거무소속 (1972-10-20, 징역6월집행유예1년)",v2_added,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100153831,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg5305/Hb100153831/junkwa/20260220132834134_1.PDF
100153938,이창수,더불어민주당,강원특별자치도 동해시나선거구,지역구 기초의원,,,N,N,등록,사기,사기,사기,,"사기,보조금관리에관한법큘위반 (2020-08-20, 벌금15,000,000원)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100153938,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg5204/Hb100153938/junkwa/20260220133459963_1.PDF
100154075,임승식,더불어민주당,전북특별자치도 정읍시제1선거구,광역의원,,,N,Y,등록,사기,사기,사기,,"사기의원섵거더불어민주당 (일자 확인 불가, 형량 확인 불가)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154075,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg5307/Hb100154075/junkwa/20260220144812436_1.PDF
100154201,김민철,더불어민주당,강원특별자치도 삼척시가선거구,지역구 기초의원,,,N,N,등록,횡령,횡령,업무상횡령; 횡령,,"업무상횡령삼척시의회의원선거더불어민주당 (1999.728, 징역6월집행유예2년)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154201,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg5205/Hb100154201/junkwa/20260223180112413_1.PDF
100154271,김철민,무소속,경상북도 경주시라선거구,지역구 기초의원,,,N,N,등록,사기,사기,사기,,"사기 (일자 행 매핑 실패, 형량 행 매핑 실패)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154271,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4704/Hb100154271/junkwa/20260504160705946_1.PDF
100154324,정병기,더불어민주당,충청남도 천안시제3선거구,광역의원,,,N,N,등록,,사기,부정수표단속법위반,부정수표단속법위반,"부정수표단속법위반부정수표단속법위반충청남도의회의원선거더불어민주당 (1998-06-12, 벌금1,000,000원)",v2_added,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154324,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4418/Hb100154324/junkwa/20260220181400140_1.PDF
100154339,이정훈,더불어민주당,강원특별자치도 삼척시,기초단체장,,,N,N,등록,사기,사기,사기,,"사기보조금의예산및관리에관한법률위반건설산업기본법위반 (일자 확인 불가, 형량 확인 불가)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154339,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg5205/Hb100154339/junkwa/20260220184411346_1.PDF
100154404,정미옥,더불어민주당,전라남도 순천시마선거구,지역구 기초의원,,,N,N,등록,,사기,보조금관리에관한법률위반,보조금관리에관한법률위반,"별지제12호서식의(카)]선거명 (일자 확인 불가, 벌금3,000,000원)",v2_added,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154404,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4604/Hb100154404/junkwa/20260220101036290_1.PDF
100154576,유동균,더불어민주당,서울특별시 마포구,기초단체장,,,N,N,등록,,사기,부정수표단속법위반,부정수표단속법위반,"도로교통법위반부정수표단속법위반부정수표단속법위반개인정보보호법위반마포구청장선거더불어민주당 (1996-11-22, 벌금1,000,000원)",v2_added,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154576,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg1114/Hb100154576/junkwa/20260220182420766_1.PDF
100154602,김재선,무소속,전북특별자치도 정읍시,기초단체장,,,N,N,등록,배임; 횡령,배임; 횡령,배임; 배임수재; 업무상횡령; 횡령,,"배임 / 배임수재 / 업무상횡령 / 횡령 (일자 행 매핑 실패, 형량 행 매핑 실패)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154602,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg5307/Hb100154602/junkwa/20260220145443416_1.PDF; https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg5307/Hb100154602/junkwa/20260220145443623_2.PDF
100154616,윤영한,국민의힘,경상북도 영천시다선거구,지역구 기초의원,,,N,N,등록,횡령,횡령,업무상횡령; 횡령,,"업무상횡령(기부금품의모집및사용에관한법률위반)도로교통법위반(음주운전)국민의힘 (일자 확인 불가, 벌금3,000,000원)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154616,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4709/Hb100154616/junkwa/20260220164626233_1.PDF
100154763,조희제,무소속,경상북도 상주시가선거구,지역구 기초의원,,,N,N,등록,사기,사기,사기,,"업丁과실치상사기무소속 (1998-11-25, 벌금1,000,000원)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154763,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4710/Hb100154763/junkwa/20260514171629101_1.PDF
100154936,박용수,더불어민주당,경상남도 통영시가선거구,지역구 기초의원,,,N,N,등록,사기,사기,사기,,"사기통영시의회의원선거더불어민주당 (일자 확인 불가, 벌금8,000,000원)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154936,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4805/Hb100154936/junkwa/20260220152856482_1.PDF
100155280,한현호,진보당,경기도 양주시다선거구,지역구 기초의원,,,N,N,등록,횡령,횡령,점유이탈물횡령; 횡령,,"진보당 (1999-01-15, 징역1년집행유예3년)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155280,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4116/Hb100155280/junkwa/20260220173442040_1.PDF
