시군구,9회_사전투표율(%),8회_사전투표율(%),증감(%p),"전국순위(9회,255개중)",지사선거_권역,권역_우세(여론조사 5/12),비고
순창군,62.31,49.75,12.56,1,동부·완주,김관영 우세,
군산시,30.11,17.58,12.53,75,서부(군산·김제·부안),김관영 +9.7%p,김관영 연고(군산 국회의원 3선)
전주시완산구,29.45,17.17,12.28,80,전주권,김관영 우세,
전주시덕진구,28.49,16.78,11.71,85,전주권,김관영 우세,
정읍시,42.95,31.62,11.33,22,정읍·고창,김관영 +11%p,
부안군,45.08,34.26,10.82,20,서부(군산·김제·부안),김관영 +9.7%p,
고창군,53.16,43.53,9.63,5,정읍·고창,김관영 +11%p,
익산시,31.4,21.95,9.45,68,익산,이원택 우세 -13.4%p,
김제시,40.91,31.82,9.09,23,서부(군산·김제·부안),김관영 +9.7%p,
완주군,36.68,27.85,8.83,38,동부·완주,김관영 우세,
진안군,52.33,44.26,8.07,6,동부·완주,김관영 우세,
장수군,51.73,43.7,8.03,9,동부·완주,김관영 우세,
남원시,44.29,38.45,5.84,21,동부·완주,김관영 우세,
임실군,49.01,44.03,4.98,16,동부·완주,김관영 우세,
무주군,47.92,47.49,0.43,17,동부·완주,김관영 우세,
