시군,민주공천후보,무소속·혁신·국힘 본선후보,8회당선정당,9회사전투표율,3월적합도1위 공천결과
전주시,조지훈,조양덕(국민) / 강성희(진보) / 김광종(무소속),더불어민주당,29.1,우범기(현시장)→탈락
군산시,김재준,이주현(조국) / 고영섭(무소속),더불어민주당,30.1,강임준(현시장)→탈락
익산시,최정호,임형택(조국) / 박경철(무소속) / 황세연(무소속),더불어민주당,31.4,
정읍시,이학수,김민영(조국) / 김재선(무소속),더불어민주당,42.9,
남원시,양충모,강동원(조국) / 황의돈(무소속),더불어민주당,44.3,
김제시,정성주,이병철(무소속),더불어민주당,40.9,
완주군,유희태,국영석(무소속),더불어민주당,36.7,
진안군,전춘성,천춘진(무소속) / 고준식(무소속),더불어민주당,52.3,
무주군,황인홍,한송희(무소속),무소속,47.9,
장수군,최훈식,장영수(조국),더불어민주당,51.7,
임실군,한득수,정인준(무소속) / 한병락(무소속),무소속,49.0,김진명→교체
순창군,최영일,오은미(진보),무소속,62.3,
고창군,심덕섭,유기상(조국) / 장명식(무소속) / 정원환(무소속),더불어민주당,53.2,
부안군,권익현,김성태(국민) / 김성수(조국) / 김종규(무소속),더불어민주당,45.1,
