시도,시군구,등록폴수,최신등록일,조사기관,의뢰자,조사방법,조사명칭,공표여부,결과분석PDF_URL,상세페이지URL
강원특별자치도,강릉시,12,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 강릉시    광역단체장선거 기초단체장선거 교육감선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19294&menuNo=200467
강원특별자치도,고성군,4,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 고성군    광역단체장선거 기초단체장선거 교육감선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19295&menuNo=200467
강원특별자치도,동해시,5,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 동해시    광역단체장선거 기초단체장선거 교육감선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19281&menuNo=200467
강원특별자치도,삼척시,3,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 삼척시    광역단체장선거 기초단체장선거 교육감선거 정당 지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19289&menuNo=200467
강원특별자치도,속초시,3,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 속초시    광역단체장선거 기초단체장선거 교육감선거 정당 지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19282&menuNo=200467
강원특별자치도,양구군,3,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 양구군    광역단체장선거 기초단체장선거 교육감선거 정당 지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19290&menuNo=200467
강원특별자치도,양양군,3,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 양양군    광역단체장선거 기초단체장선거 교육감선거 정당 지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19297&menuNo=200467
강원특별자치도,영월군,3,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 영월군    광역단체장선거 기초단체장선거 교육감선거 정당 지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19293&menuNo=200467
강원특별자치도,원주시,12,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 원주시    광역단체장선거 기초단체장선거 교육감선거 정당 지지도 등,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19285&menuNo=200467
강원특별자치도,인제군,3,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 인제군    광역단체장선거 기초단체장선거 교육감선거 정당 지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19291&menuNo=200467
강원특별자치도,정선군,3,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 정선군    광역단체장선거 기초단체장선거 교육감선거 정당 지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19288&menuNo=200467
강원특별자치도,철원군,3,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 철원군    광역단체장선거 기초단체장선거 교육감선거 정당 지지도 등,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19284&menuNo=200467
강원특별자치도,춘천시,10,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 춘천시    광역단체장선거 기초단체장선거 교육감선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19274&menuNo=200467
강원특별자치도,태백시,8,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 태백시    광역단체장선거 기초단체장선거 교육감선거 정당 지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19287&menuNo=200467
강원특별자치도,평창군,3,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 평창군    광역단체장선거 기초단체장선거 교육감선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19280&menuNo=200467
강원특별자치도,홍천군,3,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 홍천군    광역단체장선거 기초단체장선거 교육감선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19278&menuNo=200467
강원특별자치도,화천군,3,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 화천군    광역단체장선거 기초단체장선거 교육감선거 정당 지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19283&menuNo=200467
강원특별자치도,횡성군,9,2026-05-28,(주)엠브레인퍼블릭,춘천MBC/원주MBC/MBC강원영동/강원일보/강원도민일보/G1방송,무선전화면접,강원특별자치도 횡성군    광역단체장선거 기초단체장선거 교육감선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19279&menuNo=200467
경기도,가평군,8,2026-04-03,(주)리서치뷰,NGN뉴스,무선 ARS,경기도 가평군    기초단체장선거 정당지지도,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=rg2%2FAWjGQ%2FhUr%2FEWVaKluw9enR8uJEA4LdRFRJYysaI%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=dx99ry60O1KaykJaw29Y7g%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18056&menuNo=200467
경기도,고양시,11,2026-03-30,조원씨앤아이,스트레이트뉴스,무선 ARS,경기도 고양시    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17975&menuNo=200467
경기도,과천시,4,2026-05-19,조원씨앤아이,경기일보,무선 ARS,경기도 과천시    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18812&menuNo=200467
