시도,시군구,8회당선정당,8회1·2위격차%p,9회사전투표율,본선후보수,본선구도(이름·정당),무소속수,다당경쟁,검색우선순위,[폴]조사기관,[폴]조사일,[폴]1위지지율,[폴]2위지지율,[폴]출처URL,[폴]여심위번호
서울특별시,강남구,국민의힘,40.8,19.1,2,김형곤(더불) / 김현기(국민),0,Y,,,,,,,
서울특별시,강동구,국민의힘,14.28,24.3,3,김종무(더불) / 이수희(국민) / 이용우(개혁),0,Y,,,,,,,
서울특별시,강북구,더불어민주당,0.34,24.1,4,정창수(더불) / 장지호(국민) / 윤정현(노동) / 한덕희(무소),1,Y,①초접전(8회≤3%p),,,,,,
서울특별시,강서구,국민의힘,2.6,23.8,4,진교훈(더불) / 김진선(국민) / 이미선(진보) / 백철(무소),1,Y,①초접전(8회≤3%p),,,,,,
서울특별시,관악구,더불어민주당,5.88,23.3,3,박준희(더불) / 이남형(국민) / 이혜숙(개혁),0,Y,④접전(8회≤8%p),,,,,,
서울특별시,광진구,국민의힘,2.42,24.3,2,문종철(더불) / 김경호(국민),0,Y,①초접전(8회≤3%p),,,,,,
서울특별시,구로구,국민의힘,4.52,23.4,2,장인홍(더불) / 홍덕희(국민),0,Y,④접전(8회≤8%p),,,,,,
서울특별시,금천구,더불어민주당,5.98,23.0,2,최기찬(더불) / 이희권(국민),0,Y,④접전(8회≤8%p),,,,,,
서울특별시,노원구,더불어민주당,6.52,24.1,2,서준오(더불) / 김광수(국민),0,Y,④접전(8회≤8%p),,,,,,
서울특별시,도봉구,국민의힘,1.68,25.5,2,김동욱(더불) / 오언석(국민),0,Y,①초접전(8회≤3%p),,,,,,
서울특별시,동대문구,국민의힘,6.12,22.8,2,최동민(더불) / 이필형(국민),0,Y,④접전(8회≤8%p),,,,,,
서울특별시,동작구,국민의힘,7.08,25.8,4,류삼영(더불) / 김정태(국민) / 박일하(개혁) / 조성범(무소),1,Y,④접전(8회≤8%p),,,,,,
서울특별시,마포구,국민의힘,1.96,24.7,2,유동균(더불) / 박강수(국민),0,Y,①초접전(8회≤3%p),,,,,,
서울특별시,서대문구,국민의힘,6.62,25.1,2,박운기(더불) / 이성헌(국민),0,Y,④접전(8회≤8%p),,,,,,
서울특별시,서초구,국민의힘,41.76,20.9,2,황인식(더불) / 전성수(국민),0,Y,,,,,,,
서울특별시,성동구,더불어민주당,15.22,24.3,3,유보화(더불) / 고재현(국민) / 정찬옥(개혁),0,Y,,,,,,,
서울특별시,성북구,더불어민주당,0.52,25.0,3,이승로(더불) / 민병웅(국민) / 홍희진(진보),0,Y,①초접전(8회≤3%p),,,,,,
서울특별시,송파구,국민의힘,16.56,23.3,2,조재희(더불) / 서강석(국민),0,Y,,,,,,,
서울특별시,양천구,국민의힘,10.37,24.3,2,우형찬(더불) / 이기재(국민),0,Y,,,,,,,
서울특별시,영등포구,국민의힘,4.0,23.3,2,조유진(더불) / 최웅식(국민),0,Y,④접전(8회≤8%p),,,,,,
서울특별시,용산구,국민의힘,23.34,24.2,3,강태웅(더불) / 김경대(국민) / 김윤재(개혁),0,Y,,,,,,,
서울특별시,은평구,더불어민주당,3.54,25.9,2,김미경(더불) / 남기정(국민),0,Y,④접전(8회≤8%p),,,,,,
서울특별시,종로구,국민의힘,4.4,26.6,2,유찬종(더불) / 정문헌(국민),0,Y,④접전(8회≤8%p),,,,,,
서울특별시,중구,국민의힘,0.82,24.8,3,이동현(더불) / 김길성(국민) / 길기영(개혁),0,Y,①초접전(8회≤3%p),,,,,,
서울특별시,중랑구,더불어민주당,6.06,24.8,2,류경기(더불) / 황종석(국민),0,Y,④접전(8회≤8%p),,,,,,
부산광역시,강서구,국민의힘,19.02,20.1,2,박상준(더불) / 김형찬(국민),0,Y,,,,,,,
부산광역시,금정구,국민의힘,24.08,23.1,4,김경지(더불) / 윤일현(국민) / 박용찬(조국) / 최봉환(개혁),0,Y,,,,,,,
