category,group,party,party_short,candidate_count,party_total_candidates,candidate_rate_pct
사기,돈·신뢰,더불어민주당,민주당,29,3214,0.9
사기,돈·신뢰,국민의힘,국힘,28,2744,1.02
사기,돈·신뢰,조국혁신당,조국,3,263,1.14
사기,돈·신뢰,진보당,진보,0,316,0.0
사기,돈·신뢰,개혁신당,개혁,3,192,1.56
횡령,돈·신뢰,더불어민주당,민주당,13,3214,0.4
횡령,돈·신뢰,국민의힘,국힘,19,2744,0.69
횡령,돈·신뢰,조국혁신당,조국,2,263,0.76
횡령,돈·신뢰,진보당,진보,1,316,0.32
횡령,돈·신뢰,개혁신당,개혁,1,192,0.52
배임,돈·신뢰,더불어민주당,민주당,5,3214,0.16
배임,돈·신뢰,국민의힘,국힘,9,2744,0.33
배임,돈·신뢰,조국혁신당,조국,1,263,0.38
배임,돈·신뢰,진보당,진보,0,316,0.0
배임,돈·신뢰,개혁신당,개혁,1,192,0.52
뇌물,돈·신뢰,더불어민주당,민주당,4,3214,0.12
뇌물,돈·신뢰,국민의힘,국힘,9,2744,0.33
뇌물,돈·신뢰,조국혁신당,조국,0,263,0.0
뇌물,돈·신뢰,진보당,진보,0,316,0.0
뇌물,돈·신뢰,개혁신당,개혁,0,192,0.0
사기·횡령·배임·뇌물,돈·신뢰 묶음,더불어민주당,민주당,48,3214,1.49
사기·횡령·배임·뇌물,돈·신뢰 묶음,국민의힘,국힘,56,2744,2.04
사기·횡령·배임·뇌물,돈·신뢰 묶음,조국혁신당,조국,5,263,1.9
사기·횡령·배임·뇌물,돈·신뢰 묶음,진보당,진보,1,316,0.32
사기·횡령·배임·뇌물,돈·신뢰 묶음,개혁신당,개혁,5,192,2.6
공직선거법,선거,더불어민주당,민주당,70,3214,2.18
공직선거법,선거,국민의힘,국힘,64,2744,2.33
공직선거법,선거,조국혁신당,조국,5,263,1.9
공직선거법,선거,진보당,진보,10,316,3.16
공직선거법,선거,개혁신당,개혁,2,192,1.04
정치자금법,선거,더불어민주당,민주당,6,3214,0.19
정치자금법,선거,국민의힘,국힘,4,2744,0.15
정치자금법,선거,조국혁신당,조국,1,263,0.38
정치자금법,선거,진보당,진보,1,316,0.32
정치자금법,선거,개혁신당,개혁,0,192,0.0
국가보안법·집시법,시국·집회,더불어민주당,민주당,68,3214,2.12
국가보안법·집시법,시국·집회,국민의힘,국힘,7,2744,0.26
국가보안법·집시법,시국·집회,조국혁신당,조국,6,263,2.28
국가보안법·집시법,시국·집회,진보당,진보,79,316,25.0
국가보안법·집시법,시국·집회,개혁신당,개혁,2,192,1.04
음주·위험운전,안전,더불어민주당,민주당,352,3214,10.95
음주·위험운전,안전,국민의힘,국힘,377,2744,13.74
음주·위험운전,안전,조국혁신당,조국,36,263,13.69
음주·위험운전,안전,진보당,진보,24,316,7.59
음주·위험운전,안전,개혁신당,개혁,7,192,3.65
무면허운전,안전,더불어민주당,민주당,34,3214,1.06
무면허운전,안전,국민의힘,국힘,39,2744,1.42
무면허운전,안전,조국혁신당,조국,3,263,1.14
무면허운전,안전,진보당,진보,2,316,0.63
무면허운전,안전,개혁신당,개혁,0,192,0.0
교통사고,안전,더불어민주당,민주당,135,3214,4.2
교통사고,안전,국민의힘,국힘,110,2744,4.01
교통사고,안전,조국혁신당,조국,10,263,3.8
교통사고,안전,진보당,진보,8,316,2.53
교통사고,안전,개혁신당,개혁,4,192,2.08
성범죄,소수 사례,더불어민주당,민주당,0,3214,0.0
성범죄,소수 사례,국민의힘,국힘,1,2744,0.04
성범죄,소수 사례,조국혁신당,조국,0,263,0.0
성범죄,소수 사례,진보당,진보,0,316,0.0
성범죄,소수 사례,개혁신당,개혁,0,192,0.0
마약,소수 사례,더불어민주당,민주당,0,3214,0.0
마약,소수 사례,국민의힘,국힘,2,2744,0.07
마약,소수 사례,조국혁신당,조국,0,263,0.0
마약,소수 사례,진보당,진보,0,316,0.0
마약,소수 사례,개혁신당,개혁,0,192,0.0
도박,기타,더불어민주당,민주당,11,3214,0.34
도박,기타,국민의힘,국힘,12,2744,0.44
도박,기타,조국혁신당,조국,0,263,0.0
도박,기타,진보당,진보,0,316,0.0
도박,기타,개혁신당,개혁,0,192,0.0
조세,체납·세금,더불어민주당,민주당,1,3214,0.03
조세,체납·세금,국민의힘,국힘,6,2744,0.22
조세,체납·세금,조국혁신당,조국,0,263,0.0
조세,체납·세금,진보당,진보,0,316,0.0
조세,체납·세금,개혁신당,개혁,0,192,0.0
보조금,공적 재원,더불어민주당,민주당,13,3214,0.4
보조금,공적 재원,국민의힘,국힘,5,2744,0.18
보조금,공적 재원,조국혁신당,조국,1,263,0.38
보조금,공적 재원,진보당,진보,0,316,0.0
보조금,공적 재원,개혁신당,개혁,2,192,1.04
허위공문서·문서위조·공용서류,문서·공직 신뢰,더불어민주당,민주당,15,3214,0.47
허위공문서·문서위조·공용서류,문서·공직 신뢰,국민의힘,국힘,17,2744,0.62
허위공문서·문서위조·공용서류,문서·공직 신뢰,조국혁신당,조국,4,263,1.52
허위공문서·문서위조·공용서류,문서·공직 신뢰,진보당,진보,5,316,1.58
허위공문서·문서위조·공용서류,문서·공직 신뢰,개혁신당,개혁,1,192,0.52
