axis,democratic_count,democratic_rate,ppp_count,ppp_rate,higher_rate_party,rate_gap_pct_point,broadcast_note
전과 공개,950,29.6%,914,33.3%,국민의힘,3.75,선관위 전과 공개정보에 1건 이상
공직 검증 전과,479,14.9%,500,18.2%,국민의힘,3.32,전과 죄명 분류상 공직 검증 범주
핵심 검증 전과,141,4.4%,137,5.0%,국민의힘,0.61,돈·선거·공직권한·조세·보조금
사기·횡령·배임·뇌물,48,1.5%,56,2.0%,국민의힘,0.55,돈과 신뢰 범죄 묶음
최근 5년 체납,391,12.2%,451,16.4%,국민의힘,4.27,최근 5년 체납액 1원 이상
현 체납,11,0.34%,29,1.1%,국민의힘,0.71,현재 남아 있는 체납액 1원 이상
돈·신뢰 플래그,432,13.4%,498,18.1%,국민의힘,4.71,사기·횡령·배임·뇌물 또는 체납
전과·체납 검증 플래그,799,24.9%,853,31.1%,국민의힘,6.23,공직 검증 전과 또는 체납
무투표 당선 규모,314,9.8%,198,7.2%,더불어민주당,2.6,공천이 곧 당선에 가까워지는 구조의 절대 규모
무투표 후보 중 전과·체납,106,33.8%,81,40.9%,국민의힘,7.1,무투표 후보 안에서 전과·체납 후보가 차지하는 비중
