tax_type,bucket,party,party_short,candidate_count,party_total_candidates,candidate_rate_pct,amount_sum_thousand_krw
최근 5년 체납,1원~100만원 미만,더불어민주당,민주당,208,3214,6.47,75697
최근 5년 체납,100만~500만원 미만,더불어민주당,민주당,102,3214,3.17,238813
최근 5년 체납,500만~1천만원 미만,더불어민주당,민주당,36,3214,1.12,248092
최근 5년 체납,1천만~5천만원 미만,더불어민주당,민주당,34,3214,1.06,701761
최근 5년 체납,5천만~1억원 미만,더불어민주당,민주당,2,3214,0.06,145877
최근 5년 체납,1억원 이상,더불어민주당,민주당,9,3214,0.28,1837623
최근 5년 체납,1원~100만원 미만,국민의힘,국힘,239,2744,8.71,91207
최근 5년 체납,100만~500만원 미만,국민의힘,국힘,126,2744,4.59,289713
최근 5년 체납,500만~1천만원 미만,국민의힘,국힘,36,2744,1.31,265936
최근 5년 체납,1천만~5천만원 미만,국민의힘,국힘,36,2744,1.31,693992
최근 5년 체납,5천만~1억원 미만,국민의힘,국힘,6,2744,0.22,363505
최근 5년 체납,1억원 이상,국민의힘,국힘,8,2744,0.29,3566272
최근 5년 체납,1원~100만원 미만,조국혁신당,조국,19,263,7.22,8162
최근 5년 체납,100만~500만원 미만,조국혁신당,조국,13,263,4.94,31716
최근 5년 체납,500만~1천만원 미만,조국혁신당,조국,0,263,0.0,0
최근 5년 체납,1천만~5천만원 미만,조국혁신당,조국,4,263,1.52,113301
최근 5년 체납,5천만~1억원 미만,조국혁신당,조국,0,263,0.0,0
최근 5년 체납,1억원 이상,조국혁신당,조국,0,263,0.0,0
최근 5년 체납,1원~100만원 미만,진보당,진보,16,316,5.06,4869
최근 5년 체납,100만~500만원 미만,진보당,진보,1,316,0.32,2297
최근 5년 체납,500만~1천만원 미만,진보당,진보,0,316,0.0,0
최근 5년 체납,1천만~5천만원 미만,진보당,진보,0,316,0.0,0
최근 5년 체납,5천만~1억원 미만,진보당,진보,1,316,0.32,65652
최근 5년 체납,1억원 이상,진보당,진보,0,316,0.0,0
최근 5년 체납,1원~100만원 미만,개혁신당,개혁,11,192,5.73,5777
최근 5년 체납,100만~500만원 미만,개혁신당,개혁,7,192,3.65,11951
최근 5년 체납,500만~1천만원 미만,개혁신당,개혁,2,192,1.04,13869
최근 5년 체납,1천만~5천만원 미만,개혁신당,개혁,3,192,1.56,62376
최근 5년 체납,5천만~1억원 미만,개혁신당,개혁,0,192,0.0,0
최근 5년 체납,1억원 이상,개혁신당,개혁,0,192,0.0,0
현 체납,1원~100만원 미만,더불어민주당,민주당,2,3214,0.06,864
현 체납,100만~500만원 미만,더불어민주당,민주당,1,3214,0.03,1489
현 체납,500만~1천만원 미만,더불어민주당,민주당,3,3214,0.09,22744
현 체납,1천만~5천만원 미만,더불어민주당,민주당,3,3214,0.09,62468
현 체납,5천만~1억원 미만,더불어민주당,민주당,0,3214,0.0,0
현 체납,1억원 이상,더불어민주당,민주당,2,3214,0.06,575153
현 체납,1원~100만원 미만,국민의힘,국힘,8,2744,0.29,3848
현 체납,100만~500만원 미만,국민의힘,국힘,9,2744,0.33,22352
현 체납,500만~1천만원 미만,국민의힘,국힘,4,2744,0.15,29329
현 체납,1천만~5천만원 미만,국민의힘,국힘,6,2744,0.22,107117
현 체납,5천만~1억원 미만,국민의힘,국힘,1,2744,0.04,52288
현 체납,1억원 이상,국민의힘,국힘,1,2744,0.04,280503
현 체납,1원~100만원 미만,조국혁신당,조국,0,263,0.0,0
현 체납,100만~500만원 미만,조국혁신당,조국,1,263,0.38,2444
현 체납,500만~1천만원 미만,조국혁신당,조국,0,263,0.0,0
현 체납,1천만~5천만원 미만,조국혁신당,조국,2,263,0.76,52740
현 체납,5천만~1억원 미만,조국혁신당,조국,0,263,0.0,0
현 체납,1억원 이상,조국혁신당,조국,0,263,0.0,0
현 체납,1원~100만원 미만,진보당,진보,0,316,0.0,0
현 체납,100만~500만원 미만,진보당,진보,0,316,0.0,0
현 체납,500만~1천만원 미만,진보당,진보,0,316,0.0,0
현 체납,1천만~5천만원 미만,진보당,진보,0,316,0.0,0
현 체납,5천만~1억원 미만,진보당,진보,0,316,0.0,0
현 체납,1억원 이상,진보당,진보,0,316,0.0,0
현 체납,1원~100만원 미만,개혁신당,개혁,0,192,0.0,0
현 체납,100만~500만원 미만,개혁신당,개혁,3,192,1.56,5574
현 체납,500만~1천만원 미만,개혁신당,개혁,0,192,0.0,0
현 체납,1천만~5천만원 미만,개혁신당,개혁,1,192,0.52,27698
현 체납,5천만~1억원 미만,개혁신당,개혁,0,192,0.0,0
현 체납,1억원 이상,개혁신당,개혁,0,192,0.0,0
