huboid,name,party,party_short,sdName,wiwName,sggName,region,sgTypecode,office,tax_type,tax_5y_won,tax_5y_display,tax_current_won,tax_current_display,tax_agency,uncontested,nec_detail_url
100161543,서영훈,국민의힘,국힘,충청남도,당진시,당진시나선거구,충청남도 당진시 당진시나선거구,6,지역구 기초의원,최근 5년,1322058000,"13억 2,205만원",0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161543
100162674,조동탁,국민의힘,국힘,서울특별시,강동구,강동구제4선거구,서울특별시 강동구 강동구제4선거구,5,광역의원,최근 5년,774985000,"7억 7,498만원",0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162674
100156814,한일용,국민의힘,국힘,서울특별시,마포구,마포구제3선거구,서울특별시 마포구 마포구제3선거구,5,광역의원,최근 5년,651075000,"6억 5,107만원",0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156814
100164938,장일남,더불어민주당,민주당,경기도,성남시중원구,성남시,경기도 성남시,9,기초의원 비례,최근 5년,371121000,"3억 7,112만원",0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164938
100160788,구미선,더불어민주당,민주당,서울특별시,은평구,은평구마선거구,서울특별시 은평구 은평구마선거구,6,지역구 기초의원,최근 5년+현 체납,342166000,"3억 4,216만원",249419000,"2억 4,941만원",확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160788
100155716,조용수,더불어민주당,민주당,전북특별자치도,남원시,남원시가선거구,전북특별자치도 남원시 남원시가선거구,6,지역구 기초의원,최근 5년+현 체납,325734000,"3억 2,573만원",325734000,"3억 2,573만원",확인 불가(구조화 데이터에 국세/지방세 구분 없음),Y,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155716
100161878,정경민,국민의힘,국힘,경기도,파주시,파주시가선거구,경기도 파주시 파주시가선거구,6,지역구 기초의원,최근 5년+현 체납,283653000,"2억 8,365만원",280503000,"2억 8,050만원",확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161878
100154578,손훈모,더불어민주당,민주당,전라남도,순천시,순천시,전라남도 순천시,4,기초단체장,최근 5년,257508000,"2억 5,750만원",0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154578
100162489,김호경,국민의힘,국힘,서울특별시,관악구,관악구제4선거구,서울특별시 관악구 관악구제4선거구,5,광역의원,최근 5년,148303000,"1억 4,830만원",0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162489
100155292,김성수,국민의힘,국힘,충청북도,청주시청원구,청주시타선거구,충청북도 청주시청원구 청주시타선거구,6,지역구 기초의원,최근 5년,147413000,"1억 4,741만원",0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155292
100162099,신동윤,국민의힘,국힘,대구광역시,달성군,달성군라선거구,대구광역시 달성군 달성군라선거구,6,지역구 기초의원,최근 5년,132283000,"1억 3,228만원",0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162099
100159781,조승준,더불어민주당,민주당,전라남도,담양군,담양군나선거구,전라남도 담양군 담양군나선거구,6,지역구 기초의원,최근 5년,117346000,"1억 1,734만원",0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159781
100158649,설경민,더불어민주당,민주당,전북특별자치도,군산시,군산시나선거구,전북특별자치도 군산시 군산시나선거구,6,지역구 기초의원,최근 5년,109044000,1억 904만원,0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158649
100161998,김명숙,더불어민주당,민주당,경기도,평택시,평택시제2선거구,경기도 평택시 평택시제2선거구,5,광역의원,최근 5년,108018000,1억 801만원,0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161998
100164973,김혜영,국민의힘,국힘,경기도,평택시,평택시라선거구,경기도 평택시 평택시라선거구,6,지역구 기초의원,최근 5년,106502000,1억 650만원,0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164973
100165338,권진희,더불어민주당,민주당,경상남도,김해시,김해시,경상남도 김해시,9,기초의원 비례,최근 5년,103746000,1억 374만원,0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165338
100159512,임은두,더불어민주당,민주당,전북특별자치도,임실군,임실군나선거구,전북특별자치도 임실군 임실군나선거구,6,지역구 기초의원,최근 5년,102940000,1억 294만원,0,0원,확인 불가(구조화 데이터에 국세/지방세 구분 없음),N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159512
