priority_group,huboid,name,party,status,sdName,sggName,sgTypecode,office_type_rechecked,proportional_rank,seat_count,estimated_electable,original_office,criminal_or_tax_summary
1억 이상 체납,100161878,정경민,국민의힘,등록,경기도,파주시가선거구,6,지역구/단체장/기타,,,,지역구 기초의원,"2억 8,365만원"
1억 이상 체납,100164973,김혜영,국민의힘,등록,경기도,평택시라선거구,6,지역구/단체장/기타,,,,지역구 기초의원,1억 650만원
1억 이상 체납,100162099,신동윤,국민의힘,등록,대구광역시,달성군라선거구,6,지역구/단체장/기타,,,,지역구 기초의원,"1억 3,228만원"
1억 이상 체납,100162674,조동탁,국민의힘,등록,서울특별시,강동구제4선거구,5,지역구/단체장/기타,,,,광역의원,"7억 7,498만원"
1억 이상 체납,100162489,김호경,국민의힘,등록,서울특별시,관악구제4선거구,5,지역구/단체장/기타,,,,광역의원,"1억 4,830만원"
1억 이상 체납,100156814,한일용,국민의힘,등록,서울특별시,마포구제3선거구,5,지역구/단체장/기타,,,,광역의원,"6억 5,107만원"
1억 이상 체납,100161543,서영훈,국민의힘,등록,충청남도,당진시나선거구,6,지역구/단체장/기타,,,,지역구 기초의원,"13억 2,205만원"
1억 이상 체납,100155292,김성수,국민의힘,등록,충청북도,청주시타선거구,6,지역구/단체장/기타,,,,지역구 기초의원,"1억 4,741만원"
1억 이상 체납,100164938,장일남,더불어민주당,등록,경기도,성남시,9,비례,2,4,Y,기초의원 비례,"3억 7,112만원"
1억 이상 체납,100161998,김명숙,더불어민주당,등록,경기도,평택시제2선거구,5,지역구/단체장/기타,,,,광역의원,1억 801만원
1억 이상 체납,100165338,권진희,더불어민주당,등록,경상남도,김해시,9,비례,2,3,Y,기초의원 비례,1억 374만원
1억 이상 체납,100160788,구미선,더불어민주당,등록,서울특별시,은평구마선거구,6,지역구/단체장/기타,,,,지역구 기초의원,"3억 4,216만원"
1억 이상 체납,100159781,조승준,더불어민주당,등록,전라남도,담양군나선거구,6,지역구/단체장/기타,,,,지역구 기초의원,"1억 1,734만원"
1억 이상 체납,100154578,손훈모,더불어민주당,등록,전라남도,순천시,4,지역구/단체장/기타,,,,기초단체장,"2억 5,750만원"
1억 이상 체납,100158649,설경민,더불어민주당,등록,전북특별자치도,군산시나선거구,6,지역구/단체장/기타,,,,지역구 기초의원,1억 904만원
