huboid,name,party,sdName,sggName,office,sgTypecode,list_rank,seat_count,estimated_electable,status,age,birthday,criminal_record,has_criminal,criminal_categories,offense_summary,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,has_tax,economic_trust_record,tax_100m_or_more,nec_detail_url,criminal_pdf_url
100165561,윤미경,국민의힘,강원특별자치도,강원특별자치도,광역의원 비례,8,1,7,Y,등록,58,19680318,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165561,
100165562,서영일,국민의힘,강원특별자치도,강원특별자치도,광역의원 비례,8,2,7,Y,등록,39,19870406,1건,Y,폭력,"별지제12호서식의(카)]선거명소속정당명최명상해 / 2014-11-26 / 벌금1,000,000원",0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165562,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg5200/Hb100165562/junkwa/20260515131457887_8.PDF
100165563,이은희,국민의힘,강원특별자치도,강원특별자치도,광역의원 비례,8,3,7,Y,등록,61,19650331,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165563,
100165566,이상미,국민의힘,강원특별자치도,강원특별자치도,광역의원 비례,8,4,7,Y,등록,48,19770621,1건,Y,음주·위험운전; 도로교통,"도로교통법위반(음주운전)국민의힘 / 벌금1,000,000원",150,15만원,0,0원,Y,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165566,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg5200/Hb100165566/junkwa/20260515131650997_9.PDF
100165753,이지혜,국민의힘,경기도,경기도,광역의원 비례,8,1,21,Y,등록,45,19810313,없음,N,,,6068,606만원,0,0원,Y,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165753,
100165756,오남석,국민의힘,경기도,경기도,광역의원 비례,8,2,21,Y,등록,46,19791121,1건,Y,음주·위험운전; 도로교통,"별지제12호서식의(카)]선거명 / 벌금1,000,000원",1086,108만원,0,0원,Y,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165756,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4100/Hb100165756/junkwa/20260515221746927_10.PDF
100165758,최미금,국민의힘,경기도,경기도,광역의원 비례,8,3,21,Y,등록,58,19680103,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165758,
100165759,김한슬,국민의힘,경기도,경기도,광역의원 비례,8,4,21,Y,등록,39,19870316,없음,N,,,336,33만원,0,0원,Y,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165759,
100165761,최지원,국민의힘,경기도,경기도,광역의원 비례,8,5,21,Y,등록,60,19650728,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165761,
100165763,권태익,국민의힘,경기도,경기도,광역의원 비례,8,6,21,Y,등록,61,19640616,1건,Y,횡령,"업무상횡령권태익 / 벌금2,000,000원",0,0원,0,0원,N,Y,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165763,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4100/Hb100165763/junkwa/20260515220133727_8.PDF
100165769,금종례,국민의힘,경기도,경기도,광역의원 비례,8,7,21,Y,등록,67,19580812,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165769,
100165775,김진후,국민의힘,경기도,경기도,광역의원 비례,8,8,21,Y,등록,69,19570213,없음,N,,,116,11만원,0,0원,Y,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165775,
100165777,국은주,국민의힘,경기도,경기도,광역의원 비례,8,9,21,Y,등록,61,19641210,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165777,
100165780,박용일,국민의힘,경기도,경기도,광역의원 비례,8,10,21,Y,등록,34,19910920,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165780,
100165782,이지은,국민의힘,경기도,경기도,광역의원 비례,8,11,21,Y,등록,52,19731209,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165782,
100165784,김선태,국민의힘,경기도,경기도,광역의원 비례,8,12,21,Y,등록,61,19641002,1건,Y,교통사고,"교통사고처리특례법위반국민의힘 / 벌금1,500,000원",0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165784,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4100/Hb100165784/junkwa/20260515223813968_8.PDF
100165785,성주,국민의힘,경기도,경기도,광역의원 비례,8,13,21,Y,등록,57,19690116,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165785,
100165786,김광호,국민의힘,경기도,경기도,광역의원 비례,8,14,21,Y,등록,63,19621103,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165786,
100165247,구명순,국민의힘,경상남도,경상남도,광역의원 비례,8,1,9,Y,등록,57,19690225,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165247,
100165250,김영록,국민의힘,경상남도,경상남도,광역의원 비례,8,2,9,Y,등록,40,19860326,1건,Y,공직선거법; 음주·위험운전; 도로교통,『공직선거법』 / 2008-03-31,9757,975만원,139,13만원,Y,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165250,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4800/Hb100165250/junkwa/20260514224646386_8.PDF
100165258,서미숙,국민의힘,경상남도,경상남도,광역의원 비례,8,3,9,Y,등록,50,19760505,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165258,
100165264,백승흥,국민의힘,경상남도,경상남도,광역의원 비례,8,4,9,Y,등록,64,19620108,1건,Y,특가법,특정범죄가중처벌등에관한법률위 / 1985-12-26 / 징역1년,1595,159만원,0,0원,Y,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165264,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4800/Hb100165264/junkwa/20260514223521447_11.PDF
100165269,주외숙,국민의힘,경상남도,경상남도,광역의원 비례,8,5,9,Y,등록,68,19571010,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165269,
100165277,곽민혁,국민의힘,경상남도,경상남도,광역의원 비례,8,6,9,Y,등록,49,19770225,1건,Y,특가법; 폭력,특정범죄가중처벌등에관한법률위반(운전자폭행등) / 징역1년6월집행유예2년,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165277,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4800/Hb100165277/junkwa/20260514225625679_8.PDF
100164831,마정연,국민의힘,경상북도,경상북도,광역의원 비례,8,1,8,Y,등록,60,19660207,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164831,
100164840,허지훈,국민의힘,경상북도,경상북도,광역의원 비례,8,2,8,Y,등록,29,19970429,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164840,
100164853,김예영,국민의힘,경상북도,경상북도,광역의원 비례,8,3,8,Y,등록,38,19880208,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164853,
100164867,양유혁,국민의힘,경상북도,경상북도,광역의원 비례,8,4,8,Y,등록,62,19631207,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164867,
100164875,공승희,국민의힘,경상북도,경상북도,광역의원 비례,8,5,8,Y,등록,60,19650613,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164875,
100164880,김미림,국민의힘,경상북도,경상북도,광역의원 비례,8,6,8,Y,등록,66,19590802,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164880,
100164929,이오숙,국민의힘,광주광역시,전남광주통합특별시,광역의원 비례,8,1,12,Y,등록,54,19710623,2건,Y,음주·위험운전; 도로교통,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164929,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg2900/Hb100164929/junkwa/20260514163236892_5.PDF
100164935,김순옥,국민의힘,광주광역시,전남광주통합특별시,광역의원 비례,8,2,12,Y,등록,56,19700328,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164935,
100164942,채명희,국민의힘,광주광역시,전남광주통합특별시,광역의원 비례,8,3,12,Y,등록,71,19541028,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164942,
100164130,남궁현숙,국민의힘,대구광역시,대구광역시,광역의원 비례,8,1,5,Y,등록,58,19680501,없음,N,,,1579,157만원,0,0원,Y,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164130,
100164134,주호동,국민의힘,대구광역시,대구광역시,광역의원 비례,8,2,5,Y,등록,42,19840101,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164134,
100164140,임효신,국민의힘,대구광역시,대구광역시,광역의원 비례,8,3,5,Y,등록,51,19750119,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164140,
100164145,김영태,국민의힘,대구광역시,대구광역시,광역의원 비례,8,4,5,Y,등록,58,19680302,1건,Y,공직선거법; 음주·위험운전; 도로교통,『공직선거법』 / 2012-05-02,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164145,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg2700/Hb100164145/junkwa/20260513213652569_8.PDF
100164148,김성원,국민의힘,대구광역시,대구광역시,광역의원 비례,8,5,5,Y,등록,67,19590307,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164148,
100164489,조재철,국민의힘,대전광역시,대전광역시,광역의원 비례,8,1,3,Y,등록,66,19590728,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164489,
100164494,오재웅,국민의힘,대전광역시,대전광역시,광역의원 비례,8,2,3,Y,등록,42,19830801,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164494,
100164705,유도희,국민의힘,부산광역시,부산광역시,광역의원 비례,8,1,6,Y,등록,67,19581206,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164705,
100164707,배관구,국민의힘,부산광역시,부산광역시,광역의원 비례,8,2,6,Y,등록,38,19871010,2건,Y,교통사고; 공무집행방해,,22763,"2,276만원",0,0원,Y,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164707,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg2600/Hb100164707/junkwa/20260514210845993_5.PDF
100164710,견미령,국민의힘,부산광역시,부산광역시,광역의원 비례,8,3,6,Y,등록,56,19691010,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164710,
100164711,강다원,국민의힘,부산광역시,부산광역시,광역의원 비례,8,4,6,Y,등록,38,19880525,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164711,
100164712,전현숙,국민의힘,부산광역시,부산광역시,광역의원 비례,8,5,6,Y,등록,58,19680319,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164712,
100164648,주수현,국민의힘,서울특별시,서울특별시,광역의원 비례,8,1,15,Y,등록,43,19820606,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164648,
100164649,최종부,국민의힘,서울특별시,서울특별시,광역의원 비례,8,2,15,Y,등록,37,19880821,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164649,
100164651,최원선,국민의힘,서울특별시,서울특별시,광역의원 비례,8,3,15,Y,등록,47,19780616,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164651,
100164657,이문재,국민의힘,서울특별시,서울특별시,광역의원 비례,8,4,15,Y,등록,41,19850313,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164657,
100164658,오현주,국민의힘,서울특별시,서울특별시,광역의원 비례,8,5,15,Y,등록,35,19910226,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164658,
100164661,이종민,국민의힘,서울특별시,서울특별시,광역의원 비례,8,6,15,Y,등록,32,19940502,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164661,
100164662,손정화,국민의힘,서울특별시,서울특별시,광역의원 비례,8,7,15,Y,등록,43,19820930,없음,N,,,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164662,
