huboid,name,party,sdName,sggName,office,sgTypecode,list_rank,seat_count,estimated_electable,status,age,birthday,criminal_record,has_criminal,criminal_categories,offense_summary,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,has_tax,economic_trust_record,tax_100m_or_more,nec_detail_url,criminal_pdf_url
100164408,송연섭,더불어민주당,경기도,경기도,광역의원 비례,8,10,21,Y,등록,45,19800624,2건,Y,음주·위험운전; 도로교통,점부서류 / 2017-08-07,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164408,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4100/Hb100164408/junkwa/20260514202846342_8.PDF
100164551,민호영,더불어민주당,경상남도,경상남도,광역의원 비례,8,4,9,Y,등록,57,19681205,3건,Y,공직선거법; 음주·위험운전; 도로교통,전과기록증명에관한제출서비례대표경상남도의회의선거구명원선기후보자성명더불어민주당전과기록국!호영공직선거및선거부정방지법위반도로교통법위반(음주운전)지방교육자치에관한법률위반,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164551,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4800/Hb100164551/junkwa/20260515175222271_8.PDF
100165575,안일준,더불어민주당,경상남도,경상남도,광역의원 비례,8,8,9,Y,등록,58,19670907,1건,Y,교통사고,[별지제12호서식의(카)]선거명,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165575,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4800/Hb100165575/junkwa/20260515180848052_7.PDF
100165279,정숙경,더불어민주당,경상북도,경상북도,광역의원 비례,8,1,8,Y,등록,63,19630123,1건,Y,공무집행방해,공무집행방해 / 징역8월,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165279,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4700/Hb100165279/junkwa/20260514222023925_7.PDF
100165283,정용채,더불어민주당,경상북도,경상북도,광역의원 비례,8,2,8,Y,등록,64,19620318,3건,Y,폭력; 공무집행방해; 건축·건설·부동산,201412.04 / 2011-04-07,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165283,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4700/Hb100165283/junkwa/20260514222415659_7.PDF
100165196,박진한,더불어민주당,광주광역시,전남광주통합특별시,광역의원 비례,8,4,12,Y,등록,39,19870517,1건,Y,음주·위험운전; 도로교통,"도로교통법위반 / 2015-06-09 / 벌금5,000,000원",0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165196,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg2900/Hb100165196/junkwa/20260515132240575_7.PDF
100165222,박만,더불어민주당,광주광역시,전남광주통합특별시,광역의원 비례,8,8,12,Y,등록,47,19790411,1건,Y,음주·위험운전; 도로교통,도로교통법위반(음주운전 / 2013-11-15,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165222,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg2900/Hb100165222/junkwa/20260515140824380_9.PDF
100165230,김동권,더불어민주당,광주광역시,전남광주통합특별시,광역의원 비례,8,10,12,Y,등록,44,19811003,1건,Y,폭력,"폭력행위등처벌에관한법 / 2003-12-02 / 벌금3,000,000원",0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165230,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg2900/Hb100165230/junkwa/20260515142135672_7.PDF
100165153,민향기,더불어민주당,대전광역시,대전광역시,광역의원 비례,8,1,3,Y,등록,65,19600710,1건,Y,교통사고,교통사고처리특례법위반 / 2020.124 / 벌금150만원,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165153,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg3000/Hb100165153/junkwa/20260515134832965_9.PDF
100164681,조용우,더불어민주당,부산광역시,부산광역시,광역의원 비례,8,2,6,Y,등록,59,19670312,3건,Y,공직선거법; 음주·위험운전; 폭력; 공무집행방해; 도로교통; 집시법,전과기록증명에관한제출서비례대표부산광역시의회선거구명의원선거더불어민주당후보자성명전과기록형량(처분결과)특수공무집행방해치상특수공무집행방해치사폭력행위등처벌에관한법률위반집회및시위에관한법률위반도로교통법위반(음주운전)공직선거법위반,0,0원,0,0원,N,N,N,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164681,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg2600/Hb100164681/junkwa/20260514193907938_7.PDF
