시도,시군구,민주확률%,도전진영,근거,폴기관,폴등록일,폴민주,폴비민주,폴비민주당,폴마진
경기도,화성시,100.0,I,poll,(주)데일리리서치,2026-04-04,83.6,9.5,개혁신당,74.1
경기도,시흥시,100.0,C,uncontested,,,,,,
경기도,광주시,100.0,C,poll,(주)데일리리서치,2026-04-06,71.2,9.0,국민의힘,62.2
경기도,광명시,100.0,C,poll,모노커뮤니케이션즈(모노리서치),2026-04-15,56.2,28.5,국민의힘,27.7
경기도,여주시,100.0,C,poll,(주)데일리리서치,2026-05-27,83.8,13.2,국민의힘,70.6
경상남도,진주시,100.0,I,poll,(주)데일리리서치,2026-05-22,84.4,16.0,무소속,68.4
경상남도,의령군,100.0,C,poll,(주)경남통계리서치,2026-05-23,55.7,19.1,국민의힘,36.6
경상남도,함양군,100.0,C,poll,모노커뮤니케이션즈(모노리서치),2026-05-24,51.7,30.1,국민의힘,21.6
광주광역시,서구,100.0,C,uncontested,,,,,,
광주광역시,남구,100.0,C,uncontested,,,,,,
광주광역시,북구,100.0,I,hist,,,,,,
서울특별시,양천구,100.0,C,poll,(주)데일리리서치,2026-04-15,45.2,10.4,국민의힘,34.8
울산광역시,북구,100.0,C,poll,한길리서치,2026-05-27,57.0,26.9,국민의힘,30.1
인천광역시,검단구,100.0,C,poll,한길리서치,2026-04-30,54.8,27.6,국민의힘,27.2
전라남도,광양시,100.0,I,poll,한길리서치,2026-04-02,39.2,7.3,무소속,31.9
전북특별자치도,남원시,100.0,I,poll,(주)데일리리서치,2026-04-16,75.0,23.6,조국혁신당,51.4
전북특별자치도,무주군,100.0,I,poll,(주)데일리리서치,2026-04-28,60.7,23.0,무소속,37.7
전북특별자치도,부안군,100.0,I,poll,(주)데일리리서치,2026-05-13,48.1,23.6,조국혁신당,24.5
충청남도,계룡시,100.0,C,poll,(주)데일리리서치,2026-05-26,84.6,13.7,국민의힘,70.9
충청남도,금산군,100.0,I,poll,(주)데일리리서치,2026-05-20,79.0,20.5,조국혁신당,58.5
충청북도,보은군,100.0,C,poll,모노커뮤니케이션즈(모노리서치),2026-05-07,83.2,8.7,국민의힘,74.5
인천광역시,남동구,99.9,C,poll,한길리서치,2026-05-18,54.5,32.1,국민의힘,22.4
전라남도,함평군,99.9,I,poll,모노커뮤니케이션즈(모노리서치),2026-05-22,43.8,23.1,무소속,20.7
대전광역시,중구,99.8,C,poll,(주)데일리리서치,2026-05-25,53.1,33.0,국민의힘,20.1
경기도,평택시,99.6,C,poll,(주)리서치뷰,2026-05-25,50.9,32.5,국민의힘,18.4
전북특별자치도,김제시,99.4,I,hist,,,,,,
전북특별자치도,진안군,99.3,I,hist,,,,,,
광주광역시,광산구,98.9,I,hist,,,,,,
전라남도,곡성군,98.9,I,hist,,,,,,
전북특별자치도,전주시,98.9,C,hist,,,,,,
대전광역시,유성구,98.8,C,poll,(주)데일리리서치,2026-05-25,52.7,37.0,국민의힘,15.7
전라남도,보성군,98.6,I,hist,,,,,,
전라남도,장성군,98.5,I,hist,,,,,,
광주광역시,동구,98.3,I,hist,,,,,,
울산광역시,울주군,98.3,C,poll,한길리서치,2026-05-27,52.3,37.4,국민의힘,14.9
전북특별자치도,익산시,97.8,I,hist,,,,,,
전라남도,화순군,97.2,I,hist,,,,,,
전북특별자치도,완주군,97.1,I,poll,(주)데일리리서치,2026-05-06,44.6,31.5,무소속,13.1
전라남도,해남군,97.0,I,hist,,,,,,
전북특별자치도,장수군,97.0,I,hist,,,,,,
전북특별자치도,고창군,97.0,I,hist,,,,,,
전북특별자치도,군산시,96.8,I,hist,,,,,,
전라남도,장흥군,96.7,I,hist,,,,,,
전북특별자치도,순창군,96.7,I,hist,,,,,,
전라남도,구례군,95.9,I,hist,,,,,,
전라남도,영암군,95.7,I,hist,,,,,,
전북특별자치도,정읍시,95.6,I,poll,모노커뮤니케이션즈(모노리서치),2026-05-12,51.0,39.1,조국혁신당,11.9
서울특별시,성동구,95.0,C,poll,여론조사공정(주),2026-05-10,45.4,34.0,국민의힘,11.4
전라남도,고흥군,94.9,I,hist,,,,,,
전라남도,목포시,94.3,C,hist,,,,,,
전북특별자치도,임실군,92.8,I,hist,,,,,,
경기도,오산시,92.7,C,poll,여론조사공정(주),2026-05-04,46.3,35.9,국민의힘,10.4
강원특별자치도,홍천군,91.8,C,poll,(주)에이스리서치,2026-04-27,23.8,14.0,국민의힘,9.8
인천광역시,서구,91.2,C,poll,한길리서치,2026-05-11,46.7,37.2,국민의힘,9.5
경상남도,양산시,90.9,C,poll,(주)에이스리서치,2026-05-27,50.7,41.2,국민의힘,9.5
강원특별자치도,원주시,88.5,C,poll,(주)에이스리서치,2026-04-21,27.0,18.5,국민의힘,8.5
전라남도,여수시,88.2,I,poll,한길리서치,2026-05-24,42.4,34.2,조국혁신당,8.2
충청남도,천안시,88.2,C,poll,한길리서치,2026-05-24,42.1,33.9,국민의힘,8.2
부산광역시,해운대구,85.6,C,poll,(주)에이스리서치,2026-05-25,50.4,43.1,국민의힘,7.3
대전광역시,대덕구,83.5,C,poll,(주)데일리리서치,2026-05-25,48.0,41.2,국민의힘,6.8
강원특별자치도,속초시,82.8,C,poll,(주)에이스리서치,2026-04-15,22.3,15.7,국민의힘,6.6
충청남도,당진시,82.6,C,poll,(주)리서치뷰,2026-05-25,48.6,42.1,국민의힘,6.5
부산광역시,부산진구,81.8,C,poll,(주)에이스리서치,2026-05-25,49.1,42.7,국민의힘,6.4
부산광역시,기장군,81.7,C,poll,(주)에이스리서치,2026-05-25,40.3,34.1,국민의힘,6.2
서울특별시,관악구,81.3,C,hist,,,,,,
대전광역시,서구,81.2,C,poll,(주)데일리리서치,2026-05-27,45.9,39.7,국민의힘,6.2
울산광역시,남구,80.2,C,poll,한길리서치,2026-05-27,41.5,35.5,국민의힘,6.0
대전광역시,동구,77.1,C,poll,(주)데일리리서치,2026-05-27,47.3,42.2,국민의힘,5.1
강원특별자치도,정선군,76.8,C,poll,(주)에이스리서치,2026-04-19,22.9,17.7,국민의힘,5.2
전라남도,담양군,75.9,I,poll,(주)리서치뷰,2026-05-22,47.8,43.0,조국혁신당,4.8
충청북도,진천군,75.9,C,hist,,,,,,
강원특별자치도,춘천시,72.9,C,poll,(주)에이스리서치,2026-04-26,23.2,19.0,국민의힘,4.2
경기도,양주시,72.5,C,poll,여론조사공정(주),2026-04-04,33.9,29.7,국민의힘,4.2
경기도,군포시,70.1,C,hist,,,,,,
강원특별자치도,평창군,69.8,C,poll,(주)에이스리서치,2026-04-28,23.8,20.2,국민의힘,3.6
강원특별자치도,화천군,67.4,C,poll,(주)에이스리서치,2026-04-19,21.8,18.8,국민의힘,3.0
경기도,용인시,66.8,C,poll,(주)데일리리서치,2026-05-18,46.7,43.7,국민의힘,3.0
경기도,부천시,65.9,C,hist,,,,,,
인천광역시,계양구,65.5,C,hist,,,,,,
서울특별시,강북구,65.1,C,hist,,,,,,
서울특별시,노원구,63.2,C,hist,,,,,,
서울특별시,종로구,62.7,C,hist,,,,,,
경기도,구리시,61.8,C,hist,,,,,,
강원특별자치도,강릉시,61.5,C,poll,(주)에이스리서치,2026-05-07,21.1,19.0,국민의힘,2.1
충청남도,서천군,61.0,C,hist,,,,,,
서울특별시,은평구,60.8,C,hist,,,,,,
서울특별시,도봉구,58.7,C,hist,,,,,,
서울특별시,금천구,58.6,C,hist,,,,,,
전라남도,무안군,58.4,I,poll,모노커뮤니케이션즈(모노리서치),2026-05-28,44.8,43.2,무소속,1.6
경기도,하남시,58.3,C,poll,(주)데일리리서치,2026-05-24,47.0,45.6,국민의힘,1.4
서울특별시,동대문구,58.0,C,hist,,,,,,
서울특별시,서대문구,57.9,C,hist,,,,,,
서울특별시,동작구,57.3,C,hist,,,,,,
서울특별시,마포구,56.6,C,hist,,,,,,
서울특별시,광진구,56.0,C,hist,,,,,,
경기도,수원시,55.8,C,hist,,,,,,
서울특별시,구로구,55.7,C,hist,,,,,,
서울특별시,성북구,55.0,C,hist,,,,,,
경기도,김포시,54.7,C,hist,,,,,,
충청남도,태안군,54.3,C,hist,,,,,,
충청북도,청주시,52.6,C,hist,,,,,,
서울특별시,강서구,52.2,C,hist,,,,,,
경기도,의정부시,51.3,C,hist,,,,,,
인천광역시,부평구,50.9,C,hist,,,,,,
경기도,안산시,50.0,C,hist,,,,,,
서울특별시,중구,48.1,C,hist,,,,,,
경기도,남양주시,47.8,C,hist,,,,,,
서울특별시,중랑구,47.1,C,hist,,,,,,
경기도,의왕시,47.0,C,hist,,,,,,
서울특별시,강동구,46.8,C,hist,,,,,,
울산광역시,중구,46.8,C,poll,한길리서치,2026-05-27,42.1,42.6,국민의힘,-0.5
서울특별시,영등포구,46.0,C,hist,,,,,,
강원특별자치도,횡성군,45.7,C,poll,(주)에이스리서치,2026-05-05,22.3,23.2,국민의힘,-0.9
경기도,파주시,45.6,C,hist,,,,,,
충청북도,증평군,45.2,C,hist,,,,,,
전라남도,영광군,45.1,I,poll,(주)데일리리서치,2026-05-15,29.7,30.6,무소속,-0.9
경기도,고양시,44.7,C,hist,,,,,,
충청남도,서산시,44.7,C,hist,,,,,,
경상남도,김해시,44.2,C,hist,,,,,,
충청북도,제천시,44.1,C,hist,,,,,,
강원특별자치도,인제군,43.1,C,hist,,,,,,
충청북도,옥천군,42.7,C,hist,,,,,,
충청남도,공주시,42.1,C,hist,,,,,,
충청남도,아산시,41.1,C,hist,,,,,,
인천광역시,영종구,40.6,C,hist,,,,,,
대구광역시,군위군,40.2,C,hist,,,,,,
경기도,안양시,39.3,C,hist,,,,,,
인천광역시,제물포구,39.1,C,poll,한길리서치,2026-05-05,42.8,44.7,국민의힘,-1.9
강원특별자치도,철원군,38.9,I,poll,(주)에이스리서치,2026-05-03,20.8,22.9,무소속,-2.1
인천광역시,옹진군,38.7,C,hist,,,,,,
서울특별시,용산구,38.3,C,hist,,,,,,
충청남도,논산시,37.9,C,hist,,,,,,
인천광역시,연수구,37.7,C,hist,,,,,,
충청북도,음성군,37.4,C,hist,,,,,,
경기도,안성시,37.0,C,hist,,,,,,
인천광역시,미추홀구,35.3,C,hist,,,,,,
경기도,이천시,34.6,C,hist,,,,,,
충청북도,영동군,33.5,C,hist,,,,,,
경기도,성남시,33.0,C,poll,여론조사공정(주),2026-05-24,42.4,45.5,국민의힘,-3.1
강원특별자치도,동해시,32.4,C,poll,(주)에이스리서치,2026-05-27,41.24,44.41,국민의힘,-3.2
전라남도,진도군,29.6,I,poll,모노커뮤니케이션즈(모노리서치),2026-05-27,46.7,50.6,무소속,-3.9
강원특별자치도,양구군,29.0,C,hist,,,,,,
충청북도,단양군,28.5,C,hist,,,,,,
강원특별자치도,태백시,28.2,C,poll,(주)데일리리서치,2026-05-06,42.1,46.2,국민의힘,-4.1
충청북도,괴산군,27.7,C,hist,,,,,,
경기도,양평군,27.4,C,poll,(주)데일리리서치,2026-05-26,44.9,49.1,국민의힘,-4.2
충청북도,충주시,27.1,C,hist,,,,,,
경기도,연천군,26.8,C,poll,(주)데일리리서치,2026-05-28,40.4,44.7,국민의힘,-4.3
충청남도,홍성군,26.6,C,hist,,,,,,
경기도,과천시,26.4,C,hist,,,,,,
경상남도,창원시,26.3,C,poll,모노커뮤니케이션즈(모노리서치),2026-05-27,31.5,35.9,국민의힘,-4.4
전라남도,완도군,25.6,I,poll,모노커뮤니케이션즈(모노리서치),2026-05-23,45.9,50.6,무소속,-4.7
경기도,동두천시,24.9,C,hist,,,,,,
강원특별자치도,고성군,24.4,C,hist,,,,,,
부산광역시,강서구,24.2,C,hist,,,,,,
전라남도,신안군,24.1,I,poll,한길리서치,2026-05-06,41.2,46.1,조국혁신당,-4.9
경상남도,남해군,21.5,C,hist,,,,,,
부산광역시,남구,20.3,C,hist,,,,,,
전라남도,나주시,19.2,I,poll,(주)데일리리서치,2026-04-11,20.4,26.4,조국혁신당,-6.0
경상북도,청송군,18.9,C,hist,,,,,,
부산광역시,영도구,18.7,C,hist,,,,,,
부산광역시,북구,18.4,C,hist,,,,,,
강원특별자치도,양양군,17.6,I,poll,(주)에이스리서치,2026-05-06,19.6,25.9,무소속,-6.3
부산광역시,사하구,17.3,C,hist,,,,,,
부산광역시,사상구,17.1,C,hist,,,,,,
경상남도,거제시,15.4,C,hist,,,,,,
서울특별시,송파구,15.0,C,poll,모노커뮤니케이션즈(모노리서치),2026-05-25,40.5,47.6,국민의힘,-7.1
부산광역시,동구,14.8,C,hist,,,,,,
부산광역시,동래구,14.8,C,hist,,,,,,
경상북도,영양군,14.7,C,hist,,,,,,
경상남도,고성군,13.7,C,hist,,,,,,
경상남도,통영시,13.2,C,hist,,,,,,
경상북도,울릉군,12.1,C,hist,,,,,,
서울특별시,강남구,12.1,C,hist,,,,,,
부산광역시,연제구,10.5,C,hist,,,,,,
경기도,가평군,10.4,C,hist,,,,,,
경상남도,밀양시,10.2,C,hist,,,,,,
부산광역시,금정구,9.9,C,hist,,,,,,
서울특별시,서초구,9.4,C,hist,,,,,,
경상북도,칠곡군,8.2,C,hist,,,,,,
충청남도,예산군,7.9,C,hist,,,,,,
인천광역시,강화군,6.7,C,poll,한길리서치,2026-04-24,39.8,50.4,국민의힘,-10.6
부산광역시,수영구,6.5,C,hist,,,,,,
경상남도,산청군,6.3,C,hist,,,,,,
부산광역시,중구,5.6,C,hist,,,,,,
강원특별자치도,영월군,5.1,I,poll,(주)에이스리서치,2026-04-23,17.6,29.2,조국혁신당,-11.6
충청남도,청양군,4.8,C,poll,(주)데일리리서치,2026-05-15,41.8,53.4,국민의힘,-11.6
