sim_id,강원특별자치도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전북특별자치도,제주특별자치도,충청남도,충청북도
0,D,R,R,R,D,R,R,R,R,D,R,D,D,D,D,D,D
1,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
2,D,R,R,R,D,R,R,R,D,R,R,D,D,D,D,D,D
3,R,R,R,R,D,R,R,R,D,D,R,D,D,D,R,R,D
4,D,R,R,R,D,R,R,R,D,R,R,R,D,D,R,D,R
5,R,D,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
6,D,D,R,R,D,R,D,R,D,D,R,R,D,D,R,D,R
7,R,R,R,R,D,R,R,R,D,D,D,R,D,D,D,D,R
8,D,D,R,R,D,R,D,D,D,D,D,D,D,D,D,D,D
9,R,R,R,R,D,R,D,R,R,D,R,R,D,D,R,D,R
10,R,R,R,R,R,R,D,R,D,D,R,R,D,D,D,R,D
11,D,D,D,R,D,D,D,R,D,D,R,D,D,D,D,D,D
12,D,R,R,R,D,R,R,R,R,R,R,D,D,D,R,R,R
13,R,R,R,R,D,R,R,R,R,D,R,D,D,D,R,D,R
14,R,R,R,R,D,R,D,R,R,D,R,D,D,D,D,R,R
15,R,R,R,R,D,D,R,R,D,D,R,R,D,D,R,D,R
16,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
17,D,R,R,R,D,R,R,R,R,D,R,R,D,D,D,D,D
18,D,R,R,R,D,R,R,R,R,D,R,R,D,D,R,D,R
19,D,D,D,R,D,D,D,D,D,D,D,D,D,D,D,D,D
20,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
21,R,R,R,R,D,R,R,R,R,R,R,R,D,D,D,R,R
22,D,D,D,R,D,R,D,D,D,D,R,D,D,D,D,D,D
23,R,R,R,R,D,R,R,R,D,D,R,R,D,D,R,R,R
24,D,R,R,R,D,R,R,R,R,R,R,D,D,D,D,D,D
25,D,R,R,R,D,R,D,D,D,D,R,R,D,D,R,R,D
26,R,R,R,R,D,R,D,R,R,D,R,R,D,D,R,R,R
27,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
28,R,R,R,R,D,R,R,R,D,D,R,D,D,D,R,D,R
29,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
30,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
31,R,R,R,R,D,R,D,R,D,R,R,D,D,D,R,D,R
32,D,D,R,R,D,D,D,D,D,D,R,D,D,D,D,D,D
33,D,R,R,R,D,R,D,R,R,R,D,D,D,D,D,R,R
34,D,D,D,R,D,R,D,D,R,D,R,D,D,D,D,D,D
35,D,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,R
36,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,D
37,D,D,R,R,D,R,R,R,R,R,D,D,D,D,D,D,D
38,R,R,R,R,D,R,R,R,R,R,R,D,D,D,R,R,R
39,R,R,R,R,D,R,D,R,R,R,R,R,D,D,R,R,R
40,R,R,R,R,D,R,D,R,R,D,R,R,D,D,D,R,D
41,D,R,D,R,D,R,D,D,D,D,R,D,D,D,D,D,D
42,D,D,R,R,D,R,R,R,R,D,R,D,D,D,R,R,R
43,D,D,D,R,D,D,D,D,D,D,R,D,D,D,D,D,D
44,R,D,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
45,R,D,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
46,R,D,R,R,D,R,R,R,R,R,R,R,D,D,R,D,R
47,R,R,R,R,D,R,D,R,D,D,R,R,D,D,D,R,R
48,R,R,R,R,D,R,R,R,R,D,R,D,D,D,R,D,R
49,D,D,R,R,D,R,D,R,R,D,R,D,D,D,D,D,R
50,R,R,R,R,D,R,R,R,R,R,R,R,D,D,D,R,D
51,R,R,R,R,D,R,R,R,D,D,R,D,D,D,R,D,R
52,R,D,R,R,D,R,R,R,D,R,R,D,D,D,R,D,R
53,R,D,R,R,D,R,D,D,D,D,R,D,D,D,R,D,D
54,D,D,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
55,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
56,R,D,R,R,D,R,R,R,R,R,R,R,D,D,R,D,D
57,R,R,R,R,D,R,R,R,D,D,R,R,D,D,D,R,D
58,R,D,R,R,D,R,D,R,R,D,D,R,D,D,D,R,D
59,R,D,R,R,D,R,R,R,D,R,R,R,D,D,D,D,R
60,D,D,D,R,D,D,D,R,D,D,D,D,D,D,D,D,D
61,D,R,D,R,D,R,D,R,D,D,D,D,D,D,D,D,D
62,R,R,R,R,D,R,D,R,R,D,D,R,D,D,R,R,D
63,R,R,R,R,D,R,R,R,R,D,R,D,D,D,R,R,R
64,D,R,R,R,D,R,D,R,R,D,R,R,D,D,D,D,R
65,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
66,D,D,D,R,D,R,D,D,D,D,R,D,D,D,D,D,D
67,R,D,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
68,R,R,R,R,D,R,R,R,D,D,R,R,D,D,R,R,R
69,R,R,R,R,D,R,R,R,D,R,R,R,D,R,R,D,R
70,D,D,R,R,D,R,R,R,D,R,R,R,D,D,R,D,R
71,D,R,R,R,D,R,R,R,R,D,R,R,D,D,R,D,D
72,D,D,R,R,D,R,R,R,D,D,R,R,D,D,D,D,D
73,R,R,R,R,D,R,R,R,R,R,R,R,D,D,D,D,R
74,D,R,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
75,R,R,R,R,D,R,R,R,R,R,R,R,D,R,D,D,R
76,D,R,R,R,D,R,R,R,R,D,R,D,D,D,D,D,D
77,R,R,R,R,D,R,R,R,D,R,R,R,D,D,R,R,R
78,D,D,R,R,D,R,R,R,R,R,R,D,D,D,D,D,R
79,R,R,R,R,D,R,R,R,R,D,R,D,D,D,R,D,R
80,R,R,R,R,D,R,R,R,R,D,R,D,D,D,R,R,R
81,R,R,R,R,D,R,R,R,R,D,R,D,D,D,D,D,R
82,D,R,R,R,D,R,R,R,D,R,R,R,D,D,D,R,R
83,R,R,R,R,D,D,R,D,D,D,R,D,D,D,D,R,R
84,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
