party,axis,count_2022,rate_2022_pct,count_2026,rate_2026_pct,change_pct_point,judgement,source_status,note
더불어민주당,전과 공개,확인 불가,확인 불가,950,29.56,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
더불어민주당,공직 검증 전과,확인 불가,확인 불가,479,14.9,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
더불어민주당,핵심 검증 전과,확인 불가,확인 불가,141,4.39,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
더불어민주당,사기·횡령·배임·뇌물,확인 불가,확인 불가,48,1.49,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
더불어민주당,최근 5년 체납,확인 불가,확인 불가,391,12.17,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
더불어민주당,현 체납,확인 불가,확인 불가,11,0.34,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
더불어민주당,돈·신뢰 플래그,확인 불가,확인 불가,432,13.44,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
더불어민주당,전과·체납 검증 플래그,확인 불가,확인 불가,799,24.86,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
더불어민주당,무투표 당선 규모,281,9.5,314,9.8,0.3,헐거워졌다,2022·2026 모두 산출,"분모는 해당 정당 활성 후보 전체, 분자는 등록후보수 <= 의원정수 또는 비례 단일정당명부"
더불어민주당,무투표 후보 중 전과·체납,확인 불가,확인 불가,106,33.8,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
국민의힘,전과 공개,확인 불가,확인 불가,914,33.31,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
국민의힘,공직 검증 전과,확인 불가,확인 불가,500,18.22,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
국민의힘,핵심 검증 전과,확인 불가,확인 불가,137,4.99,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
국민의힘,사기·횡령·배임·뇌물,확인 불가,확인 불가,56,2.04,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
국민의힘,최근 5년 체납,확인 불가,확인 불가,451,16.44,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
국민의힘,현 체납,확인 불가,확인 불가,29,1.06,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
국민의힘,돈·신뢰 플래그,확인 불가,확인 불가,498,18.15,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
국민의힘,전과·체납 검증 플래그,확인 불가,확인 불가,853,31.09,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
국민의힘,무투표 당선 규모,226,7.7,198,7.2,-0.5,타이트해졌다,2022·2026 모두 산출,"분모는 해당 정당 활성 후보 전체, 분자는 등록후보수 <= 의원정수 또는 비례 단일정당명부"
국민의힘,무투표 후보 중 전과·체납,확인 불가,확인 불가,81,40.9,확인 불가,확인 불가,2022 상세정보 미확보,2022 후보자 상세/PDF 공개정보 미확보: 후보자정보 OpenAPI 기본 응답에는 전과·체납·병역 필드가 없음
