huboid,name,party,office,sdName,sggName,district_label,seat_count,registered_candidates,uncontested_shape,target_categories,tax_arrears_5y_thousand_krw,tax_arrears_5y_won_text,criminal_record_disclosure,total_offense_count,target_offense_count,target_offense_line,latest_target_offense_date,latest_target_offense_name,latest_target_disposition,has_imprisonment,has_suspended_sentence,max_fine_krw,job,career_summary,nec_detail_url,on_air_line
100161391,이우청,국민의힘,시도의원,경상북도,김천시제2선거구,경상북도 김천시제2선거구,1,1,단독 출마,뇌물,0,0원,3건,3,1,"1990-04-24 뇌물공여 변호사법위반 벌금 2,000,000원",1990-04-24,뇌물공여 변호사법위반,"벌금 2,000,000원",N,N,5000000,정당인,(전)제8대 김천시의회의장 / (현)경상북도의회의원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161391,이우청 국민의힘 후보는 경상북도 김천시제2선거구 시도의원 선거에서 단독 출마로 본투표 없이 당선되는 구조입니다. 선관위 공개 전과 분류상 뇌물 항목이 확인됩니다.
100161815,도희재,국민의힘,시도의원,경상북도,성주군선거구,경상북도 성주군선거구,1,1,단독 출마,"사기, 뇌물",0,0원,3건,3,3,"2002-12-28 사문서위조, 위조사문서행사, 사기 벌금 2,000,000원; 2011-08-24 뇌물공여 벌금 3,000,000원; 2016-11-25 사기 벌금 1,500,000원",2016-11-25,사기,"벌금 1,500,000원",N,N,3000000,성주군의회의원,(현)성주군의회 의장 / (전)성주라이온스클럽 회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161815,"도희재 국민의힘 후보는 경상북도 성주군선거구 시도의원 선거에서 단독 출마로 본투표 없이 당선되는 구조입니다. 선관위 공개 전과 분류상 사기, 뇌물 항목이 확인됩니다."
100162708,서재원,국민의힘,시도의원,경상북도,포항시제6선거구,경상북도 포항시제6선거구,1,1,단독 출마,"횡령, 배임",0,0원,4건,4,1,"2007-06-21 공정증서원본불실기재 불실기재공정증서원본행사 업무상횡령 배임증재 상법위반 건설산업기본법위반 골재채취법위반 징역1년, 집행유예2년",2007-06-21,공정증서원본불실기재 불실기재공정증서원본행사 업무상횡령 배임증재 상법위반 건설산업기본법위반 골재채취법위반,"징역1년, 집행유예2년",Y,Y,2500000,정당인,(전)포항시의회 8대 의장 / (전)포항시청 정무특보,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162708,"서재원 국민의힘 후보는 경상북도 포항시제6선거구 시도의원 선거에서 단독 출마로 본투표 없이 당선되는 구조입니다. 선관위 공개 전과 분류상 횡령, 배임 항목이 확인됩니다."
100156458,이정운,더불어민주당,시도의원,전라남도,무안군제2선거구,전라남도 무안군제2선거구,1,1,단독 출마,배임,0,0원,1건,1,1,"2006-08-17 허위공문서작성 허위작성공문서행사 업무상배임 특정경제범죄가중처벌등에관한 법률위반(배임) 징역2년, 집행유예3년",2006-08-17,허위공문서작성 허위작성공문서행사 업무상배임 특정경제범죄가중처벌등에관한 법률위반(배임),"징역2년, 집행유예3년",Y,Y,,정당인,(전)무안군청 지방행정사무관 / (전)제8대 무안군의회 전반기의장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156458,이정운 더불어민주당 후보는 전라남도 무안군제2선거구 시도의원 선거에서 단독 출마로 본투표 없이 당선되는 구조입니다. 선관위 공개 전과 분류상 배임 항목이 확인됩니다.
100154075,임승식,더불어민주당,시도의원,전북특별자치도,정읍시제1선거구,전북특별자치도 정읍시제1선거구,1,1,단독 출마,사기,8947,"894만7,000원",1건,1,1,2004-07-14 사기 벌금1.500.000원,2004-07-14,사기,벌금1.500.000원,N,N,1500000,전북특별자치도의회의원,(전)더불어민주당 전북특별자치도당 부위원장 / (현)전북특별자치도의회의원 농업복지환경위원회 위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154075,"임승식 더불어민주당 후보는 전북특별자치도 정읍시제1선거구 시도의원 선거에서 단독 출마로 본투표 없이 당선되는 구조입니다. 선관위 공개 전과 분류상 사기 항목이 확인됩니다, 최근 5년 체납 894만7,000원."
100163388,이대선,더불어민주당,구시군의회의원,경기도,수원시라선거구,경기도 수원시라선거구,3,3,정수와 후보 수 동일,사기,0,0원,2건,2,1,"2016-12-21 사기 벌금 1,000,000원",2016-12-21,사기,"벌금 1,000,000원",N,N,4000000,수원시의회의원,(현)수원시의회의원 / (현)더불어민주당 수원시을지역위원회 청년위원회 위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163388,이대선 더불어민주당 후보는 경기도 수원시라선거구 구시군의회의원 선거에서 정수와 후보 수 동일로 본투표 없이 당선되는 구조입니다. 선관위 공개 전과 분류상 사기 항목이 확인됩니다.
100164219,이종석,더불어민주당,구시군의회의원,서울특별시,서대문구라선거구,서울특별시 서대문구라선거구,3,3,정수와 후보 수 동일,사기,0,0원,3건,3,1,"2023-04-19 사기 벌금 3,000,000",2023-04-19,사기,"벌금 3,000,000",N,N,3000000,서대문구의회의원,(현)서대문구의회의원 / (현)더불어민주당 서대문구의회 원내대표,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164219,이종석 더불어민주당 후보는 서울특별시 서대문구라선거구 구시군의회의원 선거에서 정수와 후보 수 동일로 본투표 없이 당선되는 구조입니다. 선관위 공개 전과 분류상 사기 항목이 확인됩니다.
100163407,이규선,국민의힘,구시군의회의원,서울특별시,영등포구다선거구,서울특별시 영등포구다선거구,2,2,정수와 후보 수 동일,횡령,0,0원,2건,2,1,"2002-05-13 업무상횡령 벌금 1,000,000원",2002-05-13,업무상횡령,"벌금 1,000,000원",N,N,1500000,정당인,(현)영등포구의원 / (전)국민의힘 서울특별시당 부대변인,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163407,이규선 국민의힘 후보는 서울특별시 영등포구다선거구 구시군의회의원 선거에서 정수와 후보 수 동일로 본투표 없이 당선되는 구조입니다. 선관위 공개 전과 분류상 횡령 항목이 확인됩니다.
100160386,송종화,더불어민주당,구시군의회의원,전라남도,고흥군라선거구,전라남도 고흥군라선거구,2,2,정수와 후보 수 동일,횡령,0,0원,2건,2,1,"2019-02-08 업무상 횡령 징역 6월, 집행유예 1년",2019-02-08,업무상 횡령,"징역 6월, 집행유예 1년",Y,Y,1500000,사회복지사,(현) 제27대 포두면청년회장 / (현) 더불어민주당 고흥보성장흥강진지역위원회 고흥군 부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160386,송종화 더불어민주당 후보는 전라남도 고흥군라선거구 구시군의회의원 선거에서 정수와 후보 수 동일로 본투표 없이 당선되는 구조입니다. 선관위 공개 전과 분류상 횡령 항목이 확인됩니다.
100160943,임원희,더불어민주당,구시군의회의원,전라남도,완도군나선거구,전라남도 완도군나선거구,2,2,정수와 후보 수 동일,배임,0,0원,7건,7,2,2001-11-23 배임 특수공무집행방해 징역1년6월 집행유예 2년; 2007-08-23 배임 징역 6월 집행유예 1년,2007-08-23,배임,징역 6월 집행유예 1년,Y,Y,5000000,수산업인,(전) 더불어민주당 해남완도진도 지역위원회 금일읍 협의회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160943,임원희 더불어민주당 후보는 전라남도 완도군나선거구 구시군의회의원 선거에서 정수와 후보 수 동일로 본투표 없이 당선되는 구조입니다. 선관위 공개 전과 분류상 배임 항목이 확인됩니다.
