huboid,name,party,office,sdName,sggName,nec_detail_url,total_offense_count,offense_names_concat,earliest_disposition_date_iso,latest_disposition_date_iso,years_since_latest,has_imprisonment,has_suspended_sentence,max_fine_krw,categories_matched_in_record,needs_human_review
100161815,도희재,국민의힘,시도의원,경상북도,성주군선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161815,3,"사문서위조, 위조사문서행사, 사기; 뇌물공여; 사기",2002-12-28,2016-11-25,9.52,N,N,3000000,"뇌물, 사기, 허위공문서·문서위조·공용서류",N
100162708,서재원,국민의힘,시도의원,경상북도,포항시제6선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162708,4,업무방해; 교통사고처리특례법위반 도로교통법위반(음주운전); 공정증서원본불실기재 불실기재공정증서원본행사 업무상횡령 배임증재 상법위반 건설산업기본법위반 골재채취법위반; 도로교통법위반(음주운전),1989-11-23,2017-03-14,9.22,Y,Y,2500000,"건축·건설·부동산, 교통사고, 배임, 업무방해, 음주·위험운전, 허위공문서·문서위조·공용서류, 횡령",N
100161391,이우청,국민의힘,시도의원,경상북도,김천시제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161391,3,뇌물공여 변호사법위반; 폭력행위등처벌에관한법률위반; 공정증서원본불실기재 불실기재 공정증서원본행사 상법위반,1990-04-24,2003-10-06,22.66,N,N,5000000,"뇌물, 폭력, 허위공문서·문서위조·공용서류",N
100154075,임승식,더불어민주당,시도의원,전북특별자치도,정읍시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154075,1,사기,2004-07-14,2004-07-14,21.89,N,N,1500000,사기,N
100156458,이정운,더불어민주당,시도의원,전라남도,무안군제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156458,1,허위공문서작성 허위작성공문서행사 업무상배임 특정경제범죄가중처벌등에관한 법률위반(배임),2006-08-17,2006-08-17,19.80,Y,Y,,"배임, 허위공문서·문서위조·공용서류",N
100163388,이대선,더불어민주당,구시군의회의원,경기도,수원시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163388,2,도로교통법위반(음주운전); 사기,2015-04-22,2016-12-21,9.45,N,N,4000000,"사기, 음주·위험운전",N
100163407,이규선,국민의힘,구시군의회의원,서울특별시,영등포구다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163407,2,폭력행위등처벌에 관한 법률위반 도로교통법위반; 업무상횡령,1994-07-14,2002-05-13,24.06,N,N,1500000,"도로교통, 폭력, 횡령",N
100164219,이종석,더불어민주당,구시군의회의원,서울특별시,서대문구라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164219,3,도로교통법위반; 도로교통법위반(음주운전); 사기,2003-03-28,2023-04-19,3.12,N,N,3000000,"도로교통, 사기, 음주·위험운전",N
100160386,송종화,더불어민주당,구시군의회의원,전라남도,고흥군라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160386,2,도로교통법위반 (음주운전); 업무상 횡령,2012-06-07,2019-02-08,7.32,Y,Y,1500000,"음주·위험운전, 횡령",N
100160943,임원희,더불어민주당,구시군의회의원,전라남도,완도군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160943,7,농지의보전및이용에관한법률위반 수산업법위반 건축법위반; 수산업법위반; 대기환경보전법위반; 배임 특수공무집행방해; 배임; 국토의계획및이용에관한법률위반; 국토의계획및이용에관한법률위반,1992-12-11,2023-07-07,2.91,Y,Y,5000000,"건축·건설·부동산, 공무집행방해, 농수산, 배임, 환경",N
