huboid,name,party,office,sdName,sggName,nec_detail_url,pdf_url,offense_seq,offense_name_raw,offense_name_normalized,disposition_date_raw,disposition_date_iso,disposition_result_raw,disposition_result_type,disposition_amount_or_term,fine_krw,imprisonment_term_months,suspension_term_months,disposition_agency,finality_raw,finality_normalized,years_since_disposition,our_category_match,needs_human_review,target_category_match
100154075,임승식,더불어민주당,시도의원,전북특별자치도,정읍시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154075,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg5307/Hb100154075/junkwa/20260220144812436_1.PDF,1,사기,사기,2004.07.14,2004-07-14,벌금1.500.000원,벌금,1500000,1500000,,,,,,21.89,사기,N,사기
100156458,이정운,더불어민주당,시도의원,전라남도,무안군제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156458,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4621/Hb100156458/junkwa/20260227132233072_1.PDF,1,"허위공문서작성
허위작성공문서행사
업무상배임
특정경제범죄가중처벌등에관한
법률위반(배임)",허위공문서작성 허위작성공문서행사 업무상배임 특정경제범죄가중처벌등에관한 법률위반(배임),2006/08/17,2006-08-17,"징역2년, 집행유예3년",집행유예,36,,24,36,,,,19.80,"배임, 허위공문서·문서위조·공용서류",N,배임
100160386,송종화,더불어민주당,구시군의회의원,전라남도,고흥군라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160386,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4612/Hb100160386/junkwa/20260324161016583_1.PDF,2,업무상 횡령,업무상 횡령,2019.02.08.,2019-02-08,"징역 6월, 집행유예 1년",집행유예,12,,6,12,,,,7.32,횡령,N,횡령
100160943,임원희,더불어민주당,구시군의회의원,전라남도,완도군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160943,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4617/Hb100160943/junkwa/20260330155750466_1.PDF,4,"배임
특수공무집행방해",배임 특수공무집행방해,2001.11.23,2001-11-23,"징역1년6월
집행유예 2년",집행유예,24,,18,24,,,,24.53,"배임, 공무집행방해",N,배임
100160943,임원희,더불어민주당,구시군의회의원,전라남도,완도군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160943,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4617/Hb100160943/junkwa/20260330155750466_1.PDF,5,배임,배임,2007.08.23,2007-08-23,"징역 6월
집행유예 1년",집행유예,12,,6,12,,,,18.78,배임,N,배임
100161391,이우청,국민의힘,시도의원,경상북도,김천시제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161391,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4705/Hb100161391/junkwa/20260401155006682_1.PDF,1,뇌물공여 변호사법위반,뇌물공여 변호사법위반,1990.4.24.,1990-04-24,"벌금 2,000,000원",벌금,2000000,2000000,,,,,,36.11,뇌물,N,뇌물
100161815,도희재,국민의힘,시도의원,경상북도,성주군선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161815,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4716/Hb100161815/junkwa/20260406172133097_1.PDF,1,"사문서위조, 위조사문서행사,
사기","사문서위조, 위조사문서행사, 사기",2002.12.28.,2002-12-28,"벌금 2,000,000원",벌금,2000000,2000000,,,,,,23.43,"사기, 허위공문서·문서위조·공용서류",N,사기
100161815,도희재,국민의힘,시도의원,경상북도,성주군선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161815,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4716/Hb100161815/junkwa/20260406172133097_1.PDF,2,뇌물공여,뇌물공여,2011.8.24.,2011-08-24,"벌금 3,000,000원",벌금,3000000,3000000,,,,,,14.78,뇌물,N,뇌물
100161815,도희재,국민의힘,시도의원,경상북도,성주군선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161815,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4716/Hb100161815/junkwa/20260406172133097_1.PDF,3,사기,사기,2016.11.25.,2016-11-25,"벌금 1,500,000원",벌금,1500000,1500000,,,,,,9.52,사기,N,사기
100162708,서재원,국민의힘,시도의원,경상북도,포항시제6선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162708,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4702/Hb100162708/junkwa/20260421172509648_1.PDF,3,"공정증서원본불실기재
불실기재공정증서원본행사
업무상횡령
배임증재
상법위반
건설산업기본법위반
골재채취법위반",공정증서원본불실기재 불실기재공정증서원본행사 업무상횡령 배임증재 상법위반 건설산업기본법위반 골재채취법위반,2007.6.21,2007-06-21,"징역1년, 집행유예2년",집행유예,24,,12,24,,,,18.95,"횡령, 배임, 허위공문서·문서위조·공용서류, 건축·건설·부동산",N,"횡령, 배임"
100163388,이대선,더불어민주당,구시군의회의원,경기도,수원시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163388,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4102/Hb100163388/junkwa/20260504151252953_1.PDF,2,사기,사기,2016/12/21,2016-12-21,"벌금 1,000,000원",벌금,1000000,1000000,,,,,,9.45,사기,N,사기
100163407,이규선,국민의힘,구시군의회의원,서울특별시,영등포구다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163407,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg1119/Hb100163407/junkwa/20260504161220294_1.PDF,2,업무상횡령,업무상횡령,2002.5.13,2002-05-13,"벌금 1,000,000원",벌금,1000000,1000000,,,,,,24.06,횡령,N,횡령
100164219,이종석,더불어민주당,구시군의회의원,서울특별시,서대문구라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164219,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg1113/Hb100164219/junkwa/20260513180807135_9.PDF,3,사기,사기,2023.4.19.,2023-04-19,"벌금 3,000,000",벌금,3000000,3000000,,,,,,3.12,사기,N,사기
