huboid,name,party,office,office_type,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,criminal_record_disclosure,categories,important_categories,공직검증전과_분류수,공직검증전과_건수,체납이력_보유,현체납_보유,전과공개_보유,공직검증전과_보유,공직선거법전과_보유,해당선거구_경쟁률,해당선거구_의원정수,해당선거구_무투표판정기준,해당선거구_비례대표_단일정당명부여부,등록미달여부,검증위험_플래그
100155716,조용수,더불어민주당,구시군의회의원,지역구,전북특별자치도,남원시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155716,325734,"325,734천원",325734,"325,734천원",없음,,,0,0,Y,Y,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100165548,권보성,국민의힘,기초의원비례,비례,부산광역시,금정구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165548,74961,"74,961천원",0,0천원,1건,교통사고,,0,0,Y,N,Y,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100157901,황소제,더불어민주당,구시군의회의원,지역구,경기도,광주시다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157901,44769,"44,769천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,3,등록후보수_의원정수이하,N,N,Y
100157639,조은희,더불어민주당,시도의원,지역구,전북특별자치도,익산시제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157639,27494,"27,494천원",0,0천원,1건,교통사고,,0,0,Y,N,Y,N,N,1.00,1,등록후보수_의원정수이하,N,N,Y
100157479,김선임,더불어민주당,구시군의회의원,지역구,경기도,성남시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157479,12662,"12,662천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100163004,장정순,더불어민주당,구시군의회의원,지역구,경기도,용인시아선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163004,12312,"12,312천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100163106,김기환,더불어민주당,시도의원,지역구,제주특별자치도,제주특별자치도 제주시 이도2동갑선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163106,10242,"10,242천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,1,등록후보수_의원정수이하,N,N,Y
100165318,하금연,국민의힘,기초의원비례,비례,서울특별시,도봉구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165318,9549,"9,549천원",8554,"8,554천원",1건,공직선거법; 보험·금융,공직선거법,1,1,Y,Y,Y,Y,Y,1.00,2,등록후보수_의원정수이하,N,N,Y
100162863,김종보,더불어민주당,구시군의회의원,지역구,서울특별시,종로구라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162863,9377,"9,377천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,3,등록후보수_의원정수이하,N,N,Y
100155248,배성철,더불어민주당,구시군의회의원,지역구,충청북도,청주시카선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155248,9191,"9,191천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
