huboid,name,party,office,office_type,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,criminal_record_disclosure,categories,important_categories,공직검증전과_분류수,공직검증전과_건수,체납이력_보유,현체납_보유,전과공개_보유,공직검증전과_보유,공직선거법전과_보유,해당선거구_경쟁률,해당선거구_의원정수,해당선거구_무투표판정기준,해당선거구_비례대표_단일정당명부여부,등록미달여부,검증위험_플래그
100164699,류정단,국민의힘,기초의원비례,비례,경상북도,봉화군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164699,146,146천원,0,0천원,없음,,,0,0,Y,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,Y
100165816,김선옥,더불어민주당,기초의원비례,비례,전라남도,영광군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165816,0,0천원,0,0천원,1건,공직선거법,공직선거법,1,1,N,N,Y,Y,Y,2.00,1,비례대표_단일정당명부,Y,N,Y
100164698,김영희,국민의힘,기초의원비례,비례,경상북도,봉화군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164698,0,0천원,0,0천원,1건,,,0,0,N,N,Y,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100165107,김인자,더불어민주당,기초의원비례,비례,전라남도,고흥군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165107,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,1.50,2,비례대표_단일정당명부,Y,N,N
100165117,김지연,더불어민주당,기초의원비례,비례,전라남도,고흥군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165117,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,1.50,2,비례대표_단일정당명부,Y,N,N
100165123,박순엽,더불어민주당,기초의원비례,비례,전라남도,고흥군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165123,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,1.50,2,비례대표_단일정당명부,Y,N,N
100165414,이진숙,더불어민주당,기초의원비례,비례,전라남도,곡성군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165414,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100165408,임원자,더불어민주당,기초의원비례,비례,전라남도,곡성군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165408,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100165012,김미숙,더불어민주당,기초의원비례,비례,전라남도,보성군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165012,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100164886,서정옥,더불어민주당,기초의원비례,비례,전라남도,보성군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164886,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100165813,박노은,더불어민주당,기초의원비례,비례,전라남도,영광군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165813,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100165716,김매숙,더불어민주당,기초의원비례,비례,전라남도,완도군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165716,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100165729,손정희,더불어민주당,기초의원비례,비례,전라남도,완도군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165729,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100165843,신화순,더불어민주당,기초의원비례,비례,전라남도,장성군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165843,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100165842,이지연,더불어민주당,기초의원비례,비례,전라남도,장성군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165842,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100164733,김동미,더불어민주당,기초의원비례,비례,전라남도,장흥군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164733,0,0천원,0,0천원,1건,폭력,,0,0,N,N,Y,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100164730,김옥화,더불어민주당,기초의원비례,비례,전라남도,장흥군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164730,0,0천원,0,0천원,1건,업무방해,,0,0,N,N,Y,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100165533,박후근,더불어민주당,기초의원비례,비례,전라남도,진도군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165533,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
100164329,조난영,더불어민주당,기초의원비례,비례,전라남도,진도군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164329,0,0천원,0,0천원,없음,,,0,0,N,N,N,N,N,2.00,1,비례대표_단일정당명부,Y,N,N
