office,party,total_candidates,criminal_record_candidates,criminal_record_rate,official_vetting_record_candidates,official_vetting_record_rate,hard_vetting_record_candidates,hard_vetting_record_rate,economic_trust_record_candidates,economic_trust_record_rate,election_integrity_record_candidates,election_integrity_record_rate,tax_arrears_5y_candidates,tax_arrears_5y_rate,tax_arrears_5y_sum_thousand_krw,tax_arrears_current_candidates,tax_arrears_current_rate,tax_arrears_current_sum_thousand_krw,money_trust_flag_candidates,money_trust_flag_rate,any_vetting_flag_candidates,any_vetting_flag_rate,uncontested_candidates,uncontested_rate,uncontested_with_any_vetting_flag
광역의원비례,국민의힘,79,15,19.0%,10,12.7%,4,5.1%,2,2.5%,2,2.5%,14,17.7%,57981,1,1.3%,139,15,19.0%,19,24.1%,0,0.0%,0
광역의원비례,더불어민주당,105,27,25.7%,14,13.3%,5,4.8%,0,0.0%,5,4.8%,7,6.7%,67209,0,0.0%,0,7,6.7%,20,19.0%,0,0.0%,0
구시군의회의원,국민의힘,1526,537,35.2%,287,18.8%,61,4.0%,27,1.8%,25,1.6%,268,17.6%,2959873,12,0.8%,426986,288,18.9%,495,32.4%,132,8.7%,36
구시군의회의원,더불어민주당,1777,544,30.6%,276,15.5%,74,4.2%,36,2.0%,26,1.5%,227,12.8%,1871279,10,0.6%,654179,259,14.6%,462,26.0%,172,9.7%,46
국회의원(재·보궐),국민의힘,13,2,15.4%,2,15.4%,1,7.7%,0,0.0%,1,7.7%,1,7.7%,446,0,0.0%,0,1,7.7%,2,15.4%,0,0.0%,0
국회의원(재·보궐),더불어민주당,14,5,35.7%,3,21.4%,2,14.3%,0,0.0%,2,14.3%,1,7.1%,2740,0,0.0%,0,1,7.1%,4,28.6%,0,0.0%,0
기초단체장,국민의힘,187,67,35.8%,37,19.8%,19,10.2%,6,3.2%,12,6.4%,28,15.0%,122952,3,1.6%,2282,34,18.2%,60,32.1%,0,0.0%,0
기초단체장,더불어민주당,221,80,36.2%,38,17.2%,17,7.7%,5,2.3%,12,5.4%,22,10.0%,309417,0,0.0%,0,26,11.8%,56,25.3%,3,1.4%,0
기초의원비례,국민의힘,268,42,15.7%,29,10.8%,18,6.7%,3,1.1%,15,5.6%,37,13.8%,192521,6,2.2%,17840,40,14.9%,61,22.8%,41,15.3%,14
기초의원비례,더불어민주당,323,40,12.4%,24,7.4%,15,4.6%,2,0.6%,12,3.7%,43,13.3%,532627,0,0.0%,0,44,13.6%,64,19.8%,56,17.3%,7
시도의원,국민의힘,655,247,37.7%,133,20.3%,32,4.9%,18,2.7%,11,1.7%,99,15.1%,1909577,7,1.1%,48190,116,17.7%,211,32.2%,25,3.8%,14
시도의원,더불어민주당,758,246,32.5%,124,16.4%,28,3.7%,5,0.7%,18,2.4%,90,11.9%,464347,1,0.1%,8539,94,12.4%,192,25.3%,49,6.5%,16
시도지사,국민의힘,16,4,25.0%,2,12.5%,2,12.5%,0,0.0%,0,0.0%,4,25.0%,27275,0,0.0%,0,4,25.0%,5,31.2%,0,0.0%,0
시도지사,더불어민주당,16,8,50.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1,6.2%,244,0,0.0%,0,1,6.2%,1,6.2%,0,0.0%,0
