sdName,party,total_candidates,criminal_record_candidates,criminal_record_rate,official_vetting_record_candidates,official_vetting_record_rate,hard_vetting_record_candidates,hard_vetting_record_rate,economic_trust_record_candidates,economic_trust_record_rate,election_integrity_record_candidates,election_integrity_record_rate,tax_arrears_5y_candidates,tax_arrears_5y_rate,tax_arrears_5y_sum_thousand_krw,tax_arrears_current_candidates,tax_arrears_current_rate,tax_arrears_current_sum_thousand_krw,money_trust_flag_candidates,money_trust_flag_rate,any_vetting_flag_candidates,any_vetting_flag_rate,uncontested_candidates,uncontested_rate,uncontested_with_any_vetting_flag
강원특별자치도,국민의힘,204,79,38.7%,48,23.5%,15,7.4%,6,2.9%,6,2.9%,30,14.7%,97592,2,1.0%,5018,34,16.7%,68,33.3%,2,1.0%,1
강원특별자치도,더불어민주당,202,65,32.2%,33,16.3%,9,4.5%,5,2.5%,1,0.5%,20,9.9%,38511,1,0.5%,5138,25,12.4%,48,23.8%,2,1.0%,1
경기도,국민의힘,472,154,32.6%,77,16.3%,18,3.8%,9,1.9%,9,1.9%,91,19.3%,679426,9,1.9%,333795,100,21.2%,151,32.0%,34,7.2%,9
경기도,더불어민주당,528,155,29.4%,89,16.9%,25,4.7%,5,0.9%,17,3.2%,67,12.7%,730888,2,0.4%,40366,72,13.6%,143,27.1%,51,9.7%,17
경상남도,국민의힘,309,135,43.7%,74,23.9%,20,6.5%,6,1.9%,9,2.9%,51,16.5%,172951,1,0.3%,139,57,18.4%,109,35.3%,8,2.6%,3
경상남도,더불어민주당,239,86,36.0%,45,18.8%,18,7.5%,5,2.1%,10,4.2%,30,12.6%,169821,0,0.0%,0,34,14.2%,68,28.5%,4,1.7%,1
경상북도,국민의힘,359,146,40.7%,88,24.5%,27,7.5%,13,3.6%,14,3.9%,77,21.4%,308493,2,0.6%,73855,86,24.0%,142,39.6%,49,13.6%,26
경상북도,더불어민주당,133,46,34.6%,21,15.8%,6,4.5%,3,2.3%,2,1.5%,18,13.5%,68987,1,0.8%,187,21,15.8%,31,23.3%,2,1.5%,0
광주광역시,국민의힘,5,1,20.0%,1,20.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0,0.0%,0,0,0.0%,1,20.0%,0,0.0%,0
광주광역시,더불어민주당,88,26,29.5%,8,9.1%,3,3.4%,1,1.1%,3,3.4%,18,20.5%,24525,0,0.0%,0,18,20.5%,24,27.3%,8,9.1%,0
대구광역시,국민의힘,154,52,33.8%,29,18.8%,6,3.9%,3,1.9%,2,1.3%,19,12.3%,187269,1,0.6%,282,20,13.0%,41,26.6%,13,8.4%,1
대구광역시,더불어민주당,97,26,26.8%,13,13.4%,5,5.2%,2,2.1%,3,3.1%,10,10.3%,61905,0,0.0%,0,12,12.4%,21,21.6%,8,8.2%,0
대전광역시,국민의힘,64,21,32.8%,15,23.4%,2,3.1%,0,0.0%,0,0.0%,13,20.3%,25046,0,0.0%,0,13,20.3%,26,40.6%,4,6.2%,2
대전광역시,더불어민주당,71,15,21.1%,8,11.3%,2,2.8%,0,0.0%,2,2.8%,9,12.7%,20375,0,0.0%,0,9,12.7%,17,23.9%,5,7.0%,2
부산광역시,국민의힘,185,46,24.9%,21,11.4%,7,3.8%,2,1.1%,3,1.6%,25,13.5%,208768,0,0.0%,0,27,14.6%,43,23.2%,22,11.9%,6
부산광역시,더불어민주당,175,39,22.3%,22,12.6%,4,2.3%,0,0.0%,3,1.7%,20,11.4%,59621,1,0.6%,677,20,11.4%,41,23.4%,22,12.6%,5
서울특별시,국민의힘,380,77,20.3%,40,10.5%,11,2.9%,4,1.1%,8,2.1%,43,11.3%,1733664,5,1.3%,30290,47,12.4%,78,20.5%,47,12.4%,9
서울특별시,더불어민주당,436,91,20.9%,39,8.9%,9,2.1%,4,0.9%,4,0.9%,36,8.3%,549293,2,0.5%,262981,40,9.2%,71,16.3%,61,14.0%,14
세종특별자치시,국민의힘,21,4,19.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,14.3%,2163,0,0.0%,0,3,14.3%,3,14.3%,0,0.0%,0
세종특별자치시,더불어민주당,21,6,28.6%,4,19.0%,0,0.0%,0,0.0%,0,0.0%,4,19.0%,14194,0,0.0%,0,4,19.0%,6,28.6%,0,0.0%,0
울산광역시,국민의힘,72,27,37.5%,15,20.8%,3,4.2%,1,1.4%,2,2.8%,13,18.1%,48658,0,0.0%,0,14,19.4%,28,38.9%,0,0.0%,0
울산광역시,더불어민주당,58,17,29.3%,10,17.2%,2,3.4%,1,1.7%,1,1.7%,8,13.8%,8907,0,0.0%,0,9,15.5%,17,29.3%,0,0.0%,0
인천광역시,국민의힘,132,43,32.6%,27,20.5%,5,3.8%,1,0.8%,4,3.0%,28,21.2%,125262,2,1.5%,27045,28,21.2%,47,35.6%,12,9.1%,4
