party,party_short,category,candidate_count,party_total_candidates,candidate_rate
더불어민주당,민주당,도로교통,427,3214,13.3%
더불어민주당,민주당,음주·위험운전,352,3214,11.0%
더불어민주당,민주당,폭력,145,3214,4.5%
더불어민주당,민주당,교통사고,135,3214,4.2%
더불어민주당,민주당,공직선거법,70,3214,2.2%
더불어민주당,민주당,공무집행방해,62,3214,1.9%
더불어민주당,민주당,집시법,61,3214,1.9%
더불어민주당,민주당,건축·건설·부동산,41,3214,1.3%
더불어민주당,민주당,무면허운전,34,3214,1.1%
더불어민주당,민주당,사기,29,3214,0.9%
더불어민주당,민주당,업무방해,27,3214,0.8%
더불어민주당,민주당,국가보안법,25,3214,0.8%
더불어민주당,민주당,환경,25,3214,0.8%
더불어민주당,민주당,보험·금융,21,3214,0.7%
더불어민주당,민주당,식품·보건,21,3214,0.7%
더불어민주당,민주당,노동,16,3214,0.5%
더불어민주당,민주당,허위공문서·문서위조·공용서류,15,3214,0.5%
더불어민주당,민주당,명예훼손,13,3214,0.4%
더불어민주당,민주당,보조금,13,3214,0.4%
더불어민주당,민주당,횡령,13,3214,0.4%
더불어민주당,민주당,교육·청소년,11,3214,0.3%
더불어민주당,민주당,도박,11,3214,0.3%
더불어민주당,민주당,자동차관리,10,3214,0.3%
더불어민주당,민주당,농수산,9,3214,0.3%
더불어민주당,민주당,주거침입,8,3214,0.2%
더불어민주당,민주당,범인도피,7,3214,0.2%
더불어민주당,민주당,재물손괴,6,3214,0.2%
더불어민주당,민주당,정치자금법,6,3214,0.2%
더불어민주당,민주당,특가법,6,3214,0.2%
더불어민주당,민주당,배임,5,3214,0.2%
더불어민주당,민주당,지방공무원법,5,3214,0.2%
더불어민주당,민주당,뇌물,4,3214,0.1%
더불어민주당,민주당,사법방해,4,3214,0.1%
더불어민주당,민주당,절도,4,3214,0.1%
더불어민주당,민주당,모욕,3,3214,0.1%
더불어민주당,민주당,총포·화약,3,3214,0.1%
더불어민주당,민주당,입찰방해,2,3214,0.1%
더불어민주당,민주당,직권남용,2,3214,0.1%
더불어민주당,민주당,저작권법,1,3214,0.0%
더불어민주당,민주당,조세,1,3214,0.0%
더불어민주당,민주당,청탁금지법,1,3214,0.0%
국민의힘,국힘,도로교통,454,2744,16.5%
국민의힘,국힘,음주·위험운전,377,2744,13.7%
국민의힘,국힘,폭력,118,2744,4.3%
국민의힘,국힘,교통사고,110,2744,4.0%
국민의힘,국힘,공직선거법,64,2744,2.3%
국민의힘,국힘,건축·건설·부동산,61,2744,2.2%
국민의힘,국힘,무면허운전,39,2744,1.4%
국민의힘,국힘,환경,31,2744,1.1%
국민의힘,국힘,사기,28,2744,1.0%
국민의힘,국힘,노동,24,2744,0.9%
국민의힘,국힘,보험·금융,23,2744,0.8%
국민의힘,국힘,공무집행방해,22,2744,0.8%
국민의힘,국힘,식품·보건,21,2744,0.8%
국민의힘,국힘,횡령,19,2744,0.7%
국민의힘,국힘,허위공문서·문서위조·공용서류,17,2744,0.6%
국민의힘,국힘,농수산,16,2744,0.6%
국민의힘,국힘,특가법,16,2744,0.6%
국민의힘,국힘,업무방해,14,2744,0.5%
국민의힘,국힘,도박,12,2744,0.4%
국민의힘,국힘,명예훼손,12,2744,0.4%
국민의힘,국힘,재물손괴,10,2744,0.4%
국민의힘,국힘,뇌물,9,2744,0.3%
국민의힘,국힘,배임,9,2744,0.3%
국민의힘,국힘,교육·청소년,8,2744,0.3%
국민의힘,국힘,자동차관리,8,2744,0.3%
국민의힘,국힘,조세,6,2744,0.2%
국민의힘,국힘,보조금,5,2744,0.2%
국민의힘,국힘,국가보안법,4,2744,0.1%
국민의힘,국힘,절도,4,2744,0.1%
국민의힘,국힘,정치자금법,4,2744,0.1%
국민의힘,국힘,주거침입,4,2744,0.1%
국민의힘,국힘,집시법,3,2744,0.1%
국민의힘,국힘,마약,2,2744,0.1%
국민의힘,국힘,범인도피,2,2744,0.1%
국민의힘,국힘,사법방해,2,2744,0.1%
국민의힘,국힘,모욕,1,2744,0.0%
국민의힘,국힘,성범죄,1,2744,0.0%
국민의힘,국힘,입찰방해,1,2744,0.0%
국민의힘,국힘,청탁금지법,1,2744,0.0%
국민의힘,국힘,총포·화약,1,2744,0.0%
