rank,huboid,name,party,party_short,office,sdName,sggName,region,criminal_record_count,has_criminal_record,ocr_categories,official_vetting_categories,economic_trust_categories,election_integrity_categories,public_admin_categories,tax_public_money_categories,traffic_safety_categories,has_official_vetting_record,has_hard_vetting_record,has_economic_trust_record,has_election_integrity_record,has_public_admin_record,has_tax_public_money_record,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,has_tax_arrears_5y,has_tax_arrears_current,has_money_trust_flag,has_any_vetting_flag,is_uncontested_candidate,job,career1,career2,nec_detail_url,priority_reason
1,100155716,조용수,더불어민주당,민주당,구시군의회의원,전북특별자치도,남원시가선거구,전북특별자치도 남원시가선거구,0,False,,,,,,,,False,False,False,False,False,False,325734,"3억2,573만원",325734,"3억2,573만원",True,True,True,True,True,농업,(전)지리산새마을금고 이사장,,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155716,"무투표 당선; 최근 5년 체납 3억2,573만원; 현 체납 3억2,573만원"
2,100165318,하금연,국민의힘,국힘,기초의원비례,서울특별시,도봉구,서울특별시 도봉구,1,True,"공직선거법, 보험·금융",공직선거법,,공직선거법,,,,True,True,False,True,False,False,9549,954만원,8554,855만원,True,True,True,True,True,정당인,(현)법무부보호복지공단협의회 여성회장,(현)국민의힘 도봉을 당원협의회 조직본부장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165318,무투표 당선; 선거·정치자금 전과(공직선거법); 최근 5년 체납 954만원; 현 체납 855만원
3,100158205,구재용,더불어민주당,민주당,기초단체장,인천광역시,서구,인천광역시 서구,3,True,"건축·건설·부동산, 공무집행방해, 공직선거법, 뇌물, 허위공문서·문서위조·공용서류, 환경","공직선거법, 뇌물, 허위공문서·문서위조·공용서류",뇌물,공직선거법,허위공문서·문서위조·공용서류,,,True,True,True,True,True,False,165,16만원,0,0원,True,False,True,True,False,정당인,(전)김교흥 국회의원 보좌관,(현)대통령직속 지방시대위원회 자문위원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158205,경제·신뢰 전과(뇌물); 선거·정치자금 전과(공직선거법); 공직·문서 전과(허위공문서·문서위조·공용서류); 최근 5년 체납 16만원
4,100161815,도희재,국민의힘,국힘,시도의원,경상북도,성주군선거구,경상북도 성주군선거구,3,True,"뇌물, 사기, 허위공문서·문서위조·공용서류","뇌물, 사기, 허위공문서·문서위조·공용서류","뇌물, 사기",,허위공문서·문서위조·공용서류,,,True,True,True,False,True,False,0,0원,0,0원,False,False,True,True,True,성주군의회의원,(현)성주군의회 의장,(전)성주라이온스클럽 회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161815,"무투표 당선; 경제·신뢰 전과(뇌물, 사기); 공직·문서 전과(허위공문서·문서위조·공용서류)"
5,100154075,임승식,더불어민주당,민주당,시도의원,전북특별자치도,정읍시제1선거구,전북특별자치도 정읍시제1선거구,1,True,사기,사기,사기,,,,,True,True,True,False,False,False,8947,894만원,0,0원,True,False,True,True,True,전북특별자치도의회의원,(전)더불어민주당 전북특별자치도당 부위원장,(현)전북특별자치도의회의원 농업복지환경위원회 위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154075,무투표 당선; 경제·신뢰 전과(사기); 최근 5년 체납 894만원
6,100154298,서명일,더불어민주당,민주당,구시군의회의원,경상남도,창원시타선거구,경상남도 창원시타선거구,1,True,허위공문서·문서위조·공용서류,허위공문서·문서위조·공용서류,,,허위공문서·문서위조·공용서류,,,True,True,False,False,True,False,1915,191만원,0,0원,True,False,True,True,True,창원시의회의원,(전)더불어민주당 정책의 부의장,(현)창원시의원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154298,무투표 당선; 공직·문서 전과(허위공문서·문서위조·공용서류); 최근 5년 체납 191만원
7,100162389,김명현,국민의힘,국힘,구시군의회의원,대전광역시,서구마선거구,대전광역시 서구마선거구,4,True,"교통사고, 도로교통, 무면허운전, 음주·위험운전, 허위공문서·문서위조·공용서류","무면허운전, 음주·위험운전, 허위공문서·문서위조·공용서류",,,허위공문서·문서위조·공용서류,,"무면허운전, 음주·위험운전",True,True,False,False,True,False,1419,141만원,0,0원,True,False,True,True,True,정당인,(전)국민의힘 대전시당 조직차장,(전)새누리당 대전시당 대학생위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162389,무투표 당선; 공직·문서 전과(허위공문서·문서위조·공용서류); 최근 5년 체납 141만원
8,100159545,조주홍,국민의힘,국힘,기초단체장,경상북도,영덕군,경상북도 영덕군,3,True,"공직선거법, 도로교통, 음주·위험운전, 횡령","공직선거법, 음주·위험운전, 횡령",횡령,공직선거법,,,음주·위험운전,True,True,True,True,False,False,1166,116만원,0,0원,True,False,True,True,False,한동건설(주) 최고 재무관리자,(전)대한민국 국회부의장 선임비서관,(전)경상북도의회 제10대·제11대 의원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159545,경제·신뢰 전과(횡령); 선거·정치자금 전과(공직선거법); 최근 5년 체납 116만원
9,100160730,이지영,더불어민주당,민주당,구시군의회의원,부산광역시,동래구라선거구,부산광역시 동래구라선거구,0,False,,,,,,,,False,False,False,False,False,False,677,67만원,677,67만원,True,True,True,True,True,동래구의회 구의원,(현) 제9대 동래구의회 구의원,(현) 더불어민주당 부산시당 여성위원회 부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160730,무투표 당선; 최근 5년 체납 67만원; 현 체납 67만원
10,100164166,나성주,더불어민주당,민주당,기초의원비례,광주광역시,서구,광주광역시 서구,2,True,"공직선거법, 사기","공직선거법, 사기",사기,공직선거법,,,,True,True,True,True,False,False,120,12만원,0,0원,True,False,True,True,False,정당인,(전)더불어민주당 광주 서구을 지역위원회 청년위원장,,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164166,경제·신뢰 전과(사기); 선거·정치자금 전과(공직선거법); 최근 5년 체납 12만원
