huboid,name,party,office,sdName,sggName,경제범죄분류,최근5년체납_보유,최근5년체납액_천원,현체납_보유,전과분류전체,nec_detail_url
100161391,이우청,국민의힘,시도의원,경상북도,김천시제2선거구,뇌물,N,0,N,뇌물; 폭력,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161391
100161815,도희재,국민의힘,시도의원,경상북도,성주군선거구,"뇌물, 사기",N,0,N,사기; 뇌물; 허위공문서·문서위조·공용서류,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161815
100162708,서재원,국민의힘,시도의원,경상북도,포항시제6선거구,"배임, 횡령",N,0,N,횡령; 배임; 음주·위험운전; 교통사고; 업무방해; 도로교통; 건축·건설·부동산,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162708
100163407,이규선,국민의힘,구시군의회의원,서울특별시,영등포구다선거구,횡령,N,0,N,횡령; 폭력; 도로교통,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163407
100163388,이대선,더불어민주당,구시군의회의원,경기도,수원시라선거구,사기,N,0,N,사기; 음주·위험운전; 도로교통,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163388
100164219,이종석,더불어민주당,구시군의회의원,서울특별시,서대문구라선거구,사기,N,0,N,사기; 음주·위험운전; 도로교통,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164219
100160386,송종화,더불어민주당,구시군의회의원,전라남도,고흥군라선거구,횡령,N,0,N,횡령; 음주·위험운전; 도로교통,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160386
100160943,임원희,더불어민주당,구시군의회의원,전라남도,완도군나선거구,배임,N,0,N,배임; 공무집행방해; 환경; 건축·건설·부동산,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160943
100156458,이정운,더불어민주당,시도의원,전라남도,무안군제2선거구,배임,N,0,N,배임; 허위공문서·문서위조·공용서류,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156458
100154075,임승식,더불어민주당,시도의원,전북특별자치도,정읍시제1선거구,사기,Y,8947,N,사기,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154075
