sdName,무투표당선_선거구수,무투표당선_후보수,체납이력자수,공직검증전과자수,공직선거법전과자수,시도내_전체선거구수,시도내_무투표당선_선거구비율
서울특별시,51,108,14,9,2,311,16.4
경기도,43,85,11,15,3,375,11.5
경상북도,41,49,10,14,2,208,19.7
전라남도,41,49,5,9,0,181,22.7
전북특별자치도,37,46,4,5,0,140,26.4
부산광역시,22,44,7,4,0,142,15.5
인천광역시,15,30,7,4,0,108,13.9
대구광역시,10,21,1,1,0,96,10.4
광주광역시,10,14,3,1,1,49,20.4
제주특별자치도,8,8,1,2,0,36,22.2
경상남도,7,12,3,3,0,194,3.6
충청남도,5,10,0,3,0,137,3.6
대전광역시,4,9,3,3,0,51,7.8
충청북도,2,5,3,0,0,106,1.9
강원특별자치도,2,4,1,2,0,142,1.4
세종특별자치시,0,0,0,0,0,21,0.0
울산광역시,0,0,0,0,0,52,0.0
