sdName,sggName,office,office_type,sgTypecode,의원정수,등록후보수,경쟁률,무투표당선여부,무투표판정기준,비례대표_단일정당명부여부,등록미달여부,경쟁률_1미만여부,해당선거구_후보huboid_리스트,해당선거구_후보명_리스트,해당선거구_정당_리스트,체납이력_후보수,현체납_후보수,전과공개_후보수,공직검증전과_후보수,공직선거법전과_후보수,체납+공직검증전과_동시보유_후보수,검증위험_플래그,district_key
경기도,오산시나선거구,구시군의회의원,지역구,6,4,4,1.00,Y,등록후보수_의원정수이하,N,N,N,"100160337, 100163649, 100162882, 100158317","김상미, 정윤영, 조미선, 박창선","더불어민주당, 더불어민주당, 국민의힘, 국민의힘",2,0,1,1,0,0,Y,6|경기도|오산시나선거구
경기도,광명시라선거구,구시군의회의원,지역구,6,3,3,1.00,Y,등록후보수_의원정수이하,N,N,N,"100155920, 100154500, 100156537","박태영, 최아름, 김도연","더불어민주당, 더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|경기도|광명시라선거구
경기도,광주시다선거구,구시군의회의원,지역구,6,3,3,1.00,Y,등록후보수_의원정수이하,N,N,N,"100161018, 100157901, 100158261","박지현, 황소제, 최서윤","더불어민주당, 더불어민주당, 국민의힘",2,0,0,0,0,0,Y,6|경기도|광주시다선거구
경기도,수원시라선거구,구시군의회의원,지역구,6,3,3,1.00,Y,등록후보수_의원정수이하,N,N,N,"100158578, 100163388, 100158043","이철승, 이대선, 유재광","더불어민주당, 더불어민주당, 국민의힘",0,0,2,1,0,0,Y,6|경기도|수원시라선거구
경기도,양주시가선거구,구시군의회의원,지역구,6,3,3,1.00,Y,등록후보수_의원정수이하,N,N,N,"100163331, 100163512, 100163853","한상민, 이지연, 정현호","더불어민주당, 더불어민주당, 국민의힘",0,0,2,2,0,0,Y,6|경기도|양주시가선거구
경기도,부천시,기초의원비례,비례,9,3,3,1.00,Y,등록후보수_의원정수이하,N,N,N,"100165419, 100165427, 100165413","박영원, 박연순, 김정화","더불어민주당, 더불어민주당, 국민의힘",0,0,1,1,1,0,Y,9|경기도|부천시
광주광역시,광산구라선거구,구시군의회의원,지역구,6,3,3,1.00,Y,등록후보수_의원정수이하,N,N,N,"100163224, 100162293, 100154987","윤영일, 이우형, 김명숙","더불어민주당, 더불어민주당, 진보당",1,0,3,0,0,0,Y,6|광주광역시|광산구라선거구
대구광역시,북구다선거구,구시군의회의원,지역구,6,3,3,1.00,Y,등록후보수_의원정수이하,N,N,N,"100160545, 100162092, 100162101","황귀주, 서상훈, 이성근","더불어민주당, 국민의힘, 국민의힘",1,0,1,1,0,1,Y,6|대구광역시|북구다선거구
대전광역시,서구마선거구,구시군의회의원,지역구,6,3,3,1.00,Y,등록후보수_의원정수이하,N,N,N,"100161671, 100162037, 100162389","박용준, 최미자, 김명현","더불어민주당, 더불어민주당, 국민의힘",2,0,1,1,0,1,Y,6|대전광역시|서구마선거구
서울특별시,강북구라선거구,구시군의회의원,지역구,6,3,3,1.00,Y,등록후보수_의원정수이하,N,N,N,"100154847, 100160787, 100158243","최성례, 최치효, 김민섭","더불어민주당, 더불어민주당, 국민의힘",1,0,1,0,0,0,Y,6|서울특별시|강북구라선거구
