시도,기초단체장단위,8회당선정당,민주-국힘격차(%p),1·2위격차(%p),민주득표율,국힘득표율,8회사전(%),9회사전(%),사전증감(%p),8회접전(±10),텃밭거스름
경기도,안산시,국민의힘,-0.07,0.07,46.45,46.52,16.31,18.58,2.27,Y,
경기도,파주시,더불어민주당,0.28,0.28,50.14,49.86,15.47,17.95,2.48,Y,
서울특별시,강북구,더불어민주당,0.34,0.34,49.75,49.41,21.1,24.12,3.02,Y,
경상남도,거제시,국민의힘,-0.4,0.4,45.5,45.9,21.75,25.21,3.46,Y,
서울특별시,성북구,더불어민주당,0.52,0.52,50.26,49.74,22.02,24.95,2.93,Y,
경기도,수원시,더불어민주당,0.56,0.56,50.28,49.72,18.84,20.09,1.25,Y,
경기도,안성시,더불어민주당,0.7,0.7,50.35,49.65,21.99,22.32,0.33,Y,
강원특별자치도,춘천시,더불어민주당,0.77,0.77,45.62,44.85,22.77,25.12,2.35,Y,
서울특별시,중구,국민의힘,-0.82,0.82,49.59,50.41,22.45,24.85,2.4,Y,
경기도,군포시,국민의힘,-0.9,0.9,49.55,50.45,20.2,22.44,2.24,Y,
전북특별자치도,임실군,무소속,43.15,1.03,43.15,0.0,44.03,49.01,4.98,,Y
충청남도,아산시,국민의힘,-1.12,1.12,49.44,50.56,15.73,18.46,2.73,Y,
경기도,안양시,더불어민주당,1.3,1.3,50.65,49.35,22.53,23.71,1.18,Y,
서울특별시,도봉구,국민의힘,-1.68,1.68,48.77,50.45,21.37,25.53,4.16,Y,
강원특별자치도,철원군,국민의힘,-1.69,1.69,35.05,36.74,22.42,26.7,4.28,Y,
충청북도,증평군,더불어민주당,1.8,1.8,43.18,41.38,24.81,26.11,1.3,Y,
강원특별자치도,횡성군,국민의힘,-1.81,1.81,48.54,50.35,33.18,32.29,-0.89,Y,
서울특별시,마포구,국민의힘,-1.96,1.96,46.78,48.74,21.22,24.66,3.44,Y,
강원특별자치도,정선군,더불어민주당,2.02,2.02,51.01,48.99,33.48,33.54,0.06,Y,
인천광역시,남동구,국민의힘,-2.1,2.1,48.95,51.05,19.01,20.94,1.93,Y,
경기도,오산시,국민의힘,-2.14,2.14,47.46,49.6,14.98,18.89,3.91,Y,
경상북도,성주군,국민의힘,-51.1,2.2,0.0,51.1,37.37,34.81,-2.56,,
전라남도,영광군,무소속,48.87,2.26,48.87,0.0,41.68,46.59,4.91,,Y
대전광역시,유성구,더불어민주당,2.32,2.32,51.16,48.84,19.98,23.94,3.96,Y,
전라남도,장흥군,더불어민주당,45.15,2.32,45.15,0.0,43.45,50.71,7.26,,
인천광역시,서구,국민의힘,-2.34,2.34,48.83,51.17,18.73,20.71,1.98,Y,
서울특별시,광진구,국민의힘,-2.42,2.42,48.79,51.21,20.74,24.31,3.57,Y,
전북특별자치도,고창군,더불어민주당,49.72,2.44,49.72,0.0,43.53,53.16,9.63,,
강원특별자치도,삼척시,국민의힘,-2.52,2.52,46.61,49.13,32.06,32.39,0.33,Y,
인천광역시,부평구,더불어민주당,2.58,2.58,51.29,48.71,19.19,21.54,2.35,Y,
서울특별시,강서구,국민의힘,-2.6,2.6,48.7,51.3,20.43,23.84,3.41,Y,
경상남도,통영시,국민의힘,-2.8,2.8,36.14,38.94,24.72,28.4,3.68,Y,
대전광역시,동구,국민의힘,-3.2,3.2,48.4,51.6,20.84,22.76,1.92,Y,
충청남도,태안군,더불어민주당,3.28,3.28,51.64,48.36,29.37,30.23,0.86,Y,
서울특별시,은평구,더불어민주당,3.54,3.54,51.77,48.23,22.3,25.92,3.62,Y,
충청남도,서천군,국민의힘,-3.62,3.62,48.19,51.81,31.1,31.22,0.12,Y,
전북특별자치도,정읍시,더불어민주당,49.75,3.97,49.75,0.0,31.62,42.95,11.33,,
